group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event__bind_event_union_iff,,,,,1003912.0,ns,509
event__bind_event_union_iff,,,,,2010620.0,ns,1018
event__bind_event_union_iff,,,,,2987162.0,ns,1527
event__bind_event_union_iff,,,,,3972349.0,ns,2036
event__bind_event_union_iff,,,,,4979538.0,ns,2545
event__bind_event_union_iff,,,,,6016421.0,ns,3054
event__bind_event_union_iff,,,,,7048526.0,ns,3563
event__bind_event_union_iff,,,,,8147125.0,ns,4072
event__bind_event_union_iff,,,,,9168310.0,ns,4581
event__bind_event_union_iff,,,,,10086623.0,ns,5090
event__bind_event_union_iff,,,,,11065749.0,ns,5599
event__bind_event_union_iff,,,,,12012175.0,ns,6108
event__bind_event_union_iff,,,,,12999245.0,ns,6617
event__bind_event_union_iff,,,,,14936368.0,ns,7126
event__bind_event_union_iff,,,,,15145258.0,ns,7635
event__bind_event_union_iff,,,,,16094348.0,ns,8144
event__bind_event_union_iff,,,,,17090556.0,ns,8653
event__bind_event_union_iff,,,,,18387104.0,ns,9162
event__bind_event_union_iff,,,,,19113068.0,ns,9671
event__bind_event_union_iff,,,,,20103726.0,ns,10180
event__bind_event_union_iff,,,,,21115834.0,ns,10689
event__bind_event_union_iff,,,,,21818674.0,ns,11198
event__bind_event_union_iff,,,,,22960203.0,ns,11707
event__bind_event_union_iff,,,,,23959538.0,ns,12216
event__bind_event_union_iff,,,,,24944264.0,ns,12725
event__bind_event_union_iff,,,,,25940423.0,ns,13234
event__bind_event_union_iff,,,,,27095828.0,ns,13743
event__bind_event_union_iff,,,,,28048064.0,ns,14252
event__bind_event_union_iff,,,,,28969032.0,ns,14761
event__bind_event_union_iff,,,,,30122032.0,ns,15270
event__bind_event_union_iff,,,,,30866681.0,ns,15779
event__bind_event_union_iff,,,,,31902984.0,ns,16288
event__bind_event_union_iff,,,,,33070031.0,ns,16797
event__bind_event_union_iff,,,,,33976732.0,ns,17306
event__bind_event_union_iff,,,,,34813873.0,ns,17815
event__bind_event_union_iff,,,,,35665191.0,ns,18324
event__bind_event_union_iff,,,,,36747199.0,ns,18833
event__bind_event_union_iff,,,,,37718340.0,ns,19342
event__bind_event_union_iff,,,,,38817550.0,ns,19851
event__bind_event_union_iff,,,,,39984107.0,ns,20360
event__bind_event_union_iff,,,,,40906437.0,ns,20869
event__bind_event_union_iff,,,,,41984918.0,ns,21378
event__bind_event_union_iff,,,,,42847097.0,ns,21887
event__bind_event_union_iff,,,,,43761842.0,ns,22396
event__bind_event_union_iff,,,,,44752070.0,ns,22905
event__bind_event_union_iff,,,,,46441079.0,ns,23414
event__bind_event_union_iff,,,,,46614463.0,ns,23923
event__bind_event_union_iff,,,,,47533027.0,ns,24432
event__bind_event_union_iff,,,,,48573507.0,ns,24941
event__bind_event_union_iff,,,,,49855387.0,ns,25450
event__bind_event_union_iff,,,,,50666981.0,ns,25959
event__bind_event_union_iff,,,,,51907316.0,ns,26468
event__bind_event_union_iff,,,,,53015022.0,ns,26977
event__bind_event_union_iff,,,,,53896727.0,ns,27486
event__bind_event_union_iff,,,,,54854032.0,ns,27995
event__bind_event_union_iff,,,,,55682598.0,ns,28504
event__bind_event_union_iff,,,,,56573960.0,ns,29013
event__bind_event_union_iff,,,,,57451287.0,ns,29522
event__bind_event_union_iff,,,,,58504862.0,ns,30031
event__bind_event_union_iff,,,,,59501481.0,ns,30540
event__bind_event_union_iff,,,,,60397612.0,ns,31049
event__bind_event_union_iff,,,,,61371258.0,ns,31558
event__bind_event_union_iff,,,,,62465640.0,ns,32067
event__bind_event_union_iff,,,,,63387199.0,ns,32576
event__bind_event_union_iff,,,,,64523508.0,ns,33085
event__bind_event_union_iff,,,,,67208426.0,ns,33594
event__bind_event_union_iff,,,,,66935306.0,ns,34103
event__bind_event_union_iff,,,,,68344595.0,ns,34612
event__bind_event_union_iff,,,,,69625196.0,ns,35121
event__bind_event_union_iff,,,,,70297229.0,ns,35630
event__bind_event_union_iff,,,,,71533695.0,ns,36139
event__bind_event_union_iff,,,,,72571260.0,ns,36648
event__bind_event_union_iff,,,,,73091741.0,ns,37157
event__bind_event_union_iff,,,,,73871655.0,ns,37666
event__bind_event_union_iff,,,,,75043822.0,ns,38175
event__bind_event_union_iff,,,,,75857560.0,ns,38684
event__bind_event_union_iff,,,,,76969444.0,ns,39193
event__bind_event_union_iff,,,,,77948089.0,ns,39702
event__bind_event_union_iff,,,,,78737431.0,ns,40211
event__bind_event_union_iff,,,,,79675942.0,ns,40720
event__bind_event_union_iff,,,,,81556460.0,ns,41229
event__bind_event_union_iff,,,,,81874304.0,ns,41738
event__bind_event_union_iff,,,,,83921574.0,ns,42247
event__bind_event_union_iff,,,,,83553928.0,ns,42756
event__bind_event_union_iff,,,,,85085825.0,ns,43265
event__bind_event_union_iff,,,,,85870529.0,ns,43774
event__bind_event_union_iff,,,,,86822604.0,ns,44283
event__bind_event_union_iff,,,,,87070807.0,ns,44792
event__bind_event_union_iff,,,,,87585868.0,ns,45301
event__bind_event_union_iff,,,,,88966363.0,ns,45810
event__bind_event_union_iff,,,,,89592912.0,ns,46319
event__bind_event_union_iff,,,,,92269344.0,ns,46828
event__bind_event_union_iff,,,,,91755857.0,ns,47337
event__bind_event_union_iff,,,,,94095352.0,ns,47846
