group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
logical__bind_logical_core_integral,,,,,975428.0,ns,1798
logical__bind_logical_core_integral,,,,,1965334.0,ns,3596
logical__bind_logical_core_integral,,,,,2942284.0,ns,5394
logical__bind_logical_core_integral,,,,,3953659.0,ns,7192
logical__bind_logical_core_integral,,,,,4924068.0,ns,8990
logical__bind_logical_core_integral,,,,,5941695.0,ns,10788
logical__bind_logical_core_integral,,,,,6920420.0,ns,12586
logical__bind_logical_core_integral,,,,,8024879.0,ns,14384
logical__bind_logical_core_integral,,,,,8929224.0,ns,16182
logical__bind_logical_core_integral,,,,,9856041.0,ns,17980
logical__bind_logical_core_integral,,,,,10909646.0,ns,19778
logical__bind_logical_core_integral,,,,,11935278.0,ns,21576
logical__bind_logical_core_integral,,,,,12778428.0,ns,23374
logical__bind_logical_core_integral,,,,,13714332.0,ns,25172
logical__bind_logical_core_integral,,,,,14817119.0,ns,26970
logical__bind_logical_core_integral,,,,,15761789.0,ns,28768
logical__bind_logical_core_integral,,,,,16751724.0,ns,30566
logical__bind_logical_core_integral,,,,,17476814.0,ns,32364
logical__bind_logical_core_integral,,,,,18423428.0,ns,34162
logical__bind_logical_core_integral,,,,,19304779.0,ns,35960
logical__bind_logical_core_integral,,,,,20201529.0,ns,37758
logical__bind_logical_core_integral,,,,,21175375.0,ns,39556
logical__bind_logical_core_integral,,,,,22208231.0,ns,41354
logical__bind_logical_core_integral,,,,,23100413.0,ns,43152
logical__bind_logical_core_integral,,,,,24091330.0,ns,44950
logical__bind_logical_core_integral,,,,,25312568.0,ns,46748
logical__bind_logical_core_integral,,,,,26075859.0,ns,48546
logical__bind_logical_core_integral,,,,,27078838.0,ns,50344
logical__bind_logical_core_integral,,,,,27972193.0,ns,52142
logical__bind_logical_core_integral,,,,,29031758.0,ns,53940
logical__bind_logical_core_integral,,,,,29944298.0,ns,55738
logical__bind_logical_core_integral,,,,,30877718.0,ns,57536
logical__bind_logical_core_integral,,,,,31916535.0,ns,59334
logical__bind_logical_core_integral,,,,,33559043.0,ns,61132
logical__bind_logical_core_integral,,,,,34460333.0,ns,62930
logical__bind_logical_core_integral,,,,,35155365.0,ns,64728
logical__bind_logical_core_integral,,,,,36175476.0,ns,66526
logical__bind_logical_core_integral,,,,,37151986.0,ns,68324
logical__bind_logical_core_integral,,,,,38525621.0,ns,70122
logical__bind_logical_core_integral,,,,,39263484.0,ns,71920
logical__bind_logical_core_integral,,,,,42709181.0,ns,73718
logical__bind_logical_core_integral,,,,,41420015.0,ns,75516
logical__bind_logical_core_integral,,,,,41921364.0,ns,77314
logical__bind_logical_core_integral,,,,,43203858.0,ns,79112
logical__bind_logical_core_integral,,,,,43907998.0,ns,80910
logical__bind_logical_core_integral,,,,,44904956.0,ns,82708
logical__bind_logical_core_integral,,,,,45879583.0,ns,84506
logical__bind_logical_core_integral,,,,,46805048.0,ns,86304
logical__bind_logical_core_integral,,,,,47758314.0,ns,88102
logical__bind_logical_core_integral,,,,,48545539.0,ns,89900
logical__bind_logical_core_integral,,,,,49596850.0,ns,91698
logical__bind_logical_core_integral,,,,,50537603.0,ns,93496
logical__bind_logical_core_integral,,,,,51904114.0,ns,95294
logical__bind_logical_core_integral,,,,,52836642.0,ns,97092
logical__bind_logical_core_integral,,,,,53850271.0,ns,98890
logical__bind_logical_core_integral,,,,,54753224.0,ns,100688
logical__bind_logical_core_integral,,,,,55347988.0,ns,102486
logical__bind_logical_core_integral,,,,,56375183.0,ns,104284
logical__bind_logical_core_integral,,,,,57439738.0,ns,106082
logical__bind_logical_core_integral,,,,,58974304.0,ns,107880
logical__bind_logical_core_integral,,,,,59795282.0,ns,109678
logical__bind_logical_core_integral,,,,,60607605.0,ns,111476
logical__bind_logical_core_integral,,,,,61875331.0,ns,113274
logical__bind_logical_core_integral,,,,,62815413.0,ns,115072
logical__bind_logical_core_integral,,,,,63290594.0,ns,116870
logical__bind_logical_core_integral,,,,,64570082.0,ns,118668
logical__bind_logical_core_integral,,,,,65585123.0,ns,120466
logical__bind_logical_core_integral,,,,,66817493.0,ns,122264
logical__bind_logical_core_integral,,,,,67554986.0,ns,124062
logical__bind_logical_core_integral,,,,,68507861.0,ns,125860
logical__bind_logical_core_integral,,,,,69455357.0,ns,127658
logical__bind_logical_core_integral,,,,,70277999.0,ns,129456
logical__bind_logical_core_integral,,,,,71460586.0,ns,131254
logical__bind_logical_core_integral,,,,,72485687.0,ns,133052
logical__bind_logical_core_integral,,,,,75831136.0,ns,134850
logical__bind_logical_core_integral,,,,,76579970.0,ns,136648
logical__bind_logical_core_integral,,,,,76949652.0,ns,138446
logical__bind_logical_core_integral,,,,,76212341.0,ns,140244
logical__bind_logical_core_integral,,,,,77352848.0,ns,142042
logical__bind_logical_core_integral,,,,,78351409.0,ns,143840
logical__bind_logical_core_integral,,,,,79190332.0,ns,145638
logical__bind_logical_core_integral,,,,,78990899.0,ns,147436
logical__bind_logical_core_integral,,,,,80038292.0,ns,149234
logical__bind_logical_core_integral,,,,,81250343.0,ns,151032
logical__bind_logical_core_integral,,,,,82105486.0,ns,152830
logical__bind_logical_core_integral,,,,,83373171.0,ns,154628
logical__bind_logical_core_integral,,,,,84115633.0,ns,156426
logical__bind_logical_core_integral,,,,,84863515.0,ns,158224
logical__bind_logical_core_integral,,,,,85561112.0,ns,160022
logical__bind_logical_core_integral,,,,,86606411.0,ns,161820
logical__bind_logical_core_integral,,,,,87671187.0,ns,163618
logical__bind_logical_core_integral,,,,,88392609.0,ns,165416
logical__bind_logical_core_integral,,,,,90950292.0,ns,167214
logical__bind_logical_core_integral,,,,,90800522.0,ns,169012
logical__bind_logical_core_integral,,,,,91596824.0,ns,170810
logical__bind_logical_core_integral,,,,,92771356.0,ns,172608
logical__bind_logical_core_integral,,,,,93587465.0,ns,174406
logical__bind_logical_core_integral,,,,,95350880.0,ns,176204
logical__bind_logical_core_integral,,,,,95957436.0,ns,178002
logical__bind_logical_core_integral,,,,,96873253.0,ns,179800
