group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
logical__bind_logical_rich_types,,,,,1011385.0,ns,987
logical__bind_logical_rich_types,,,,,2005298.0,ns,1974
logical__bind_logical_rich_types,,,,,2968844.0,ns,2961
logical__bind_logical_rich_types,,,,,4001520.0,ns,3948
logical__bind_logical_rich_types,,,,,5048482.0,ns,4935
logical__bind_logical_rich_types,,,,,6063265.0,ns,5922
logical__bind_logical_rich_types,,,,,6958832.0,ns,6909
logical__bind_logical_rich_types,,,,,8165304.0,ns,7896
logical__bind_logical_rich_types,,,,,8948011.0,ns,8883
logical__bind_logical_rich_types,,,,,10101312.0,ns,9870
logical__bind_logical_rich_types,,,,,11037407.0,ns,10857
logical__bind_logical_rich_types,,,,,11959956.0,ns,11844
logical__bind_logical_rich_types,,,,,13015645.0,ns,12831
logical__bind_logical_rich_types,,,,,13954605.0,ns,13818
logical__bind_logical_rich_types,,,,,14987210.0,ns,14805
logical__bind_logical_rich_types,,,,,15901864.0,ns,15792
logical__bind_logical_rich_types,,,,,16902350.0,ns,16779
logical__bind_logical_rich_types,,,,,18102980.0,ns,17766
logical__bind_logical_rich_types,,,,,19222909.0,ns,18753
logical__bind_logical_rich_types,,,,,20170344.0,ns,19740
logical__bind_logical_rich_types,,,,,21241983.0,ns,20727
logical__bind_logical_rich_types,,,,,22460096.0,ns,21714
logical__bind_logical_rich_types,,,,,23507950.0,ns,22701
logical__bind_logical_rich_types,,,,,25296012.0,ns,23688
logical__bind_logical_rich_types,,,,,26621526.0,ns,24675
logical__bind_logical_rich_types,,,,,26598713.0,ns,25662
logical__bind_logical_rich_types,,,,,27422938.0,ns,26649
logical__bind_logical_rich_types,,,,,28599193.0,ns,27636
logical__bind_logical_rich_types,,,,,29793792.0,ns,28623
logical__bind_logical_rich_types,,,,,35878676.0,ns,29610
logical__bind_logical_rich_types,,,,,32736648.0,ns,30597
logical__bind_logical_rich_types,,,,,32672728.0,ns,31584
logical__bind_logical_rich_types,,,,,33296326.0,ns,32571
logical__bind_logical_rich_types,,,,,34218895.0,ns,33558
logical__bind_logical_rich_types,,,,,35192260.0,ns,34545
logical__bind_logical_rich_types,,,,,36301118.0,ns,35532
logical__bind_logical_rich_types,,,,,38252897.0,ns,36519
logical__bind_logical_rich_types,,,,,38772871.0,ns,37506
logical__bind_logical_rich_types,,,,,39380420.0,ns,38493
logical__bind_logical_rich_types,,,,,40522720.0,ns,39480
logical__bind_logical_rich_types,,,,,41406117.0,ns,40467
logical__bind_logical_rich_types,,,,,42538930.0,ns,41454
logical__bind_logical_rich_types,,,,,43386078.0,ns,42441
logical__bind_logical_rich_types,,,,,44540150.0,ns,43428
logical__bind_logical_rich_types,,,,,45427093.0,ns,44415
logical__bind_logical_rich_types,,,,,46436084.0,ns,45402
logical__bind_logical_rich_types,,,,,47619562.0,ns,46389
logical__bind_logical_rich_types,,,,,48318282.0,ns,47376
logical__bind_logical_rich_types,,,,,49341680.0,ns,48363
logical__bind_logical_rich_types,,,,,50954964.0,ns,49350
logical__bind_logical_rich_types,,,,,51787434.0,ns,50337
logical__bind_logical_rich_types,,,,,52657575.0,ns,51324
logical__bind_logical_rich_types,,,,,53672197.0,ns,52311
logical__bind_logical_rich_types,,,,,54642956.0,ns,53298
logical__bind_logical_rich_types,,,,,55666284.0,ns,54285
logical__bind_logical_rich_types,,,,,56762990.0,ns,55272
logical__bind_logical_rich_types,,,,,57667966.0,ns,56259
logical__bind_logical_rich_types,,,,,59502385.0,ns,57246
logical__bind_logical_rich_types,,,,,61600086.0,ns,58233
logical__bind_logical_rich_types,,,,,60900825.0,ns,59220
logical__bind_logical_rich_types,,,,,62179712.0,ns,60207
logical__bind_logical_rich_types,,,,,62935329.0,ns,61194
logical__bind_logical_rich_types,,,,,64342015.0,ns,62181
logical__bind_logical_rich_types,,,,,65180176.0,ns,63168
logical__bind_logical_rich_types,,,,,66229564.0,ns,64155
logical__bind_logical_rich_types,,,,,66952147.0,ns,65142
logical__bind_logical_rich_types,,,,,67870419.0,ns,66129
logical__bind_logical_rich_types,,,,,68866997.0,ns,67116
logical__bind_logical_rich_types,,,,,70564388.0,ns,68103
logical__bind_logical_rich_types,,,,,71851731.0,ns,69090
logical__bind_logical_rich_types,,,,,71934706.0,ns,70077
logical__bind_logical_rich_types,,,,,72824614.0,ns,71064
logical__bind_logical_rich_types,,,,,73973197.0,ns,72051
logical__bind_logical_rich_types,,,,,74603999.0,ns,73038
logical__bind_logical_rich_types,,,,,75651844.0,ns,74025
logical__bind_logical_rich_types,,,,,76767976.0,ns,75012
logical__bind_logical_rich_types,,,,,78087338.0,ns,75999
logical__bind_logical_rich_types,,,,,78917956.0,ns,76986
logical__bind_logical_rich_types,,,,,79833671.0,ns,77973
logical__bind_logical_rich_types,,,,,80953761.0,ns,78960
logical__bind_logical_rich_types,,,,,81652572.0,ns,79947
logical__bind_logical_rich_types,,,,,83189812.0,ns,80934
logical__bind_logical_rich_types,,,,,84357301.0,ns,81921
logical__bind_logical_rich_types,,,,,85521072.0,ns,82908
logical__bind_logical_rich_types,,,,,87169251.0,ns,83895
logical__bind_logical_rich_types,,,,,89644010.0,ns,84882
logical__bind_logical_rich_types,,,,,89884480.0,ns,85869
logical__bind_logical_rich_types,,,,,90161820.0,ns,86856
logical__bind_logical_rich_types,,,,,90370401.0,ns,87843
logical__bind_logical_rich_types,,,,,91073359.0,ns,88830
logical__bind_logical_rich_types,,,,,92239905.0,ns,89817
logical__bind_logical_rich_types,,,,,93344075.0,ns,90804
logical__bind_logical_rich_types,,,,,94369457.0,ns,91791
logical__bind_logical_rich_types,,,,,95369652.0,ns,92778
logical__bind_logical_rich_types,,,,,101206702.0,ns,93765
logical__bind_logical_rich_types,,,,,100534182.0,ns,94752
logical__bind_logical_rich_types,,,,,99401608.0,ns,95739
logical__bind_logical_rich_types,,,,,99592346.0,ns,96726
logical__bind_logical_rich_types,,,,,99993418.0,ns,97713
logical__bind_logical_rich_types,,,,,100950742.0,ns,98700
