group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
syntax__parse_event_malformed,,,,,1005663.0,ns,6157
syntax__parse_event_malformed,,,,,2076578.0,ns,12314
syntax__parse_event_malformed,,,,,3114732.0,ns,18471
syntax__parse_event_malformed,,,,,4172132.0,ns,24628
syntax__parse_event_malformed,,,,,5169089.0,ns,30785
syntax__parse_event_malformed,,,,,6232499.0,ns,36942
syntax__parse_event_malformed,,,,,7265183.0,ns,43099
syntax__parse_event_malformed,,,,,8328274.0,ns,49256
syntax__parse_event_malformed,,,,,9324248.0,ns,55413
syntax__parse_event_malformed,,,,,10433124.0,ns,61570
syntax__parse_event_malformed,,,,,11372994.0,ns,67727
syntax__parse_event_malformed,,,,,12383917.0,ns,73884
syntax__parse_event_malformed,,,,,13387296.0,ns,80041
syntax__parse_event_malformed,,,,,14479861.0,ns,86198
syntax__parse_event_malformed,,,,,15488770.0,ns,92355
syntax__parse_event_malformed,,,,,16462674.0,ns,98512
syntax__parse_event_malformed,,,,,17488204.0,ns,104669
syntax__parse_event_malformed,,,,,18685146.0,ns,110826
syntax__parse_event_malformed,,,,,19655182.0,ns,116983
syntax__parse_event_malformed,,,,,20791419.0,ns,123140
syntax__parse_event_malformed,,,,,21982820.0,ns,129297
syntax__parse_event_malformed,,,,,22761177.0,ns,135454
syntax__parse_event_malformed,,,,,24003784.0,ns,141611
syntax__parse_event_malformed,,,,,24709375.0,ns,147768
syntax__parse_event_malformed,,,,,25729385.0,ns,153925
syntax__parse_event_malformed,,,,,26722053.0,ns,160082
syntax__parse_event_malformed,,,,,27873358.0,ns,166239
syntax__parse_event_malformed,,,,,28647708.0,ns,172396
syntax__parse_event_malformed,,,,,29904993.0,ns,178553
syntax__parse_event_malformed,,,,,30975537.0,ns,184710
syntax__parse_event_malformed,,,,,31845597.0,ns,190867
syntax__parse_event_malformed,,,,,32756602.0,ns,197024
syntax__parse_event_malformed,,,,,33956919.0,ns,203181
syntax__parse_event_malformed,,,,,34171051.0,ns,209338
syntax__parse_event_malformed,,,,,35138021.0,ns,215495
syntax__parse_event_malformed,,,,,36105703.0,ns,221652
syntax__parse_event_malformed,,,,,36859374.0,ns,227809
syntax__parse_event_malformed,,,,,38327963.0,ns,233966
syntax__parse_event_malformed,,,,,39468399.0,ns,240123
syntax__parse_event_malformed,,,,,40384765.0,ns,246280
syntax__parse_event_malformed,,,,,41296402.0,ns,252437
syntax__parse_event_malformed,,,,,42269925.0,ns,258594
syntax__parse_event_malformed,,,,,44560042.0,ns,264751
syntax__parse_event_malformed,,,,,44486685.0,ns,270908
syntax__parse_event_malformed,,,,,45585412.0,ns,277065
syntax__parse_event_malformed,,,,,46670483.0,ns,283222
syntax__parse_event_malformed,,,,,47506889.0,ns,289379
syntax__parse_event_malformed,,,,,48348045.0,ns,295536
syntax__parse_event_malformed,,,,,49522895.0,ns,301693
syntax__parse_event_malformed,,,,,50912166.0,ns,307850
syntax__parse_event_malformed,,,,,51923860.0,ns,314007
syntax__parse_event_malformed,,,,,54097069.0,ns,320164
syntax__parse_event_malformed,,,,,53780125.0,ns,326321
syntax__parse_event_malformed,,,,,54490115.0,ns,332478
syntax__parse_event_malformed,,,,,56089479.0,ns,338635
syntax__parse_event_malformed,,,,,57572076.0,ns,344792
syntax__parse_event_malformed,,,,,58407871.0,ns,350949
syntax__parse_event_malformed,,,,,59096570.0,ns,357106
syntax__parse_event_malformed,,,,,60012615.0,ns,363263
syntax__parse_event_malformed,,,,,61137322.0,ns,369420
syntax__parse_event_malformed,,,,,62732408.0,ns,375577
syntax__parse_event_malformed,,,,,63272048.0,ns,381734
syntax__parse_event_malformed,,,,,64156735.0,ns,387891
syntax__parse_event_malformed,,,,,65421913.0,ns,394048
syntax__parse_event_malformed,,,,,65873990.0,ns,400205
syntax__parse_event_malformed,,,,,66578819.0,ns,406362
syntax__parse_event_malformed,,,,,67396450.0,ns,412519
syntax__parse_event_malformed,,,,,68599954.0,ns,418676
syntax__parse_event_malformed,,,,,69598583.0,ns,424833
syntax__parse_event_malformed,,,,,70784655.0,ns,430990
syntax__parse_event_malformed,,,,,72346749.0,ns,437147
syntax__parse_event_malformed,,,,,72352760.0,ns,443304
syntax__parse_event_malformed,,,,,73393198.0,ns,449461
syntax__parse_event_malformed,,,,,74842542.0,ns,455618
syntax__parse_event_malformed,,,,,76314498.0,ns,461775
syntax__parse_event_malformed,,,,,76279483.0,ns,467932
syntax__parse_event_malformed,,,,,77033244.0,ns,474089
syntax__parse_event_malformed,,,,,78386548.0,ns,480246
syntax__parse_event_malformed,,,,,83204960.0,ns,486403
syntax__parse_event_malformed,,,,,81662632.0,ns,492560
syntax__parse_event_malformed,,,,,81413125.0,ns,498717
syntax__parse_event_malformed,,,,,81404849.0,ns,504874
syntax__parse_event_malformed,,,,,80984742.0,ns,511031
syntax__parse_event_malformed,,,,,83240636.0,ns,517188
syntax__parse_event_malformed,,,,,86152589.0,ns,523345
syntax__parse_event_malformed,,,,,84578041.0,ns,529502
syntax__parse_event_malformed,,,,,85540513.0,ns,535659
syntax__parse_event_malformed,,,,,86545454.0,ns,541816
syntax__parse_event_malformed,,,,,87797018.0,ns,547973
syntax__parse_event_malformed,,,,,88243504.0,ns,554130
syntax__parse_event_malformed,,,,,88593890.0,ns,560287
syntax__parse_event_malformed,,,,,89970528.0,ns,566444
syntax__parse_event_malformed,,,,,91263669.0,ns,572601
syntax__parse_event_malformed,,,,,91892176.0,ns,578758
syntax__parse_event_malformed,,,,,93251621.0,ns,584915
syntax__parse_event_malformed,,,,,93742851.0,ns,591072
syntax__parse_event_malformed,,,,,94387548.0,ns,597229
syntax__parse_event_malformed,,,,,95622922.0,ns,603386
syntax__parse_event_malformed,,,,,96723231.0,ns,609543
syntax__parse_event_malformed,,,,,97552604.0,ns,615700
