group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
syntax__parse_event_union_iff,,,,,1009496.0,ns,3372
syntax__parse_event_union_iff,,,,,2005837.0,ns,6744
syntax__parse_event_union_iff,,,,,3023126.0,ns,10116
syntax__parse_event_union_iff,,,,,4042780.0,ns,13488
syntax__parse_event_union_iff,,,,,5101388.0,ns,16860
syntax__parse_event_union_iff,,,,,6094643.0,ns,20232
syntax__parse_event_union_iff,,,,,7094631.0,ns,23604
syntax__parse_event_union_iff,,,,,8111099.0,ns,26976
syntax__parse_event_union_iff,,,,,9122267.0,ns,30348
syntax__parse_event_union_iff,,,,,10261567.0,ns,33720
syntax__parse_event_union_iff,,,,,11094992.0,ns,37092
syntax__parse_event_union_iff,,,,,12039635.0,ns,40464
syntax__parse_event_union_iff,,,,,14696854.0,ns,43836
syntax__parse_event_union_iff,,,,,14100655.0,ns,47208
syntax__parse_event_union_iff,,,,,15220698.0,ns,50580
syntax__parse_event_union_iff,,,,,16234952.0,ns,53952
syntax__parse_event_union_iff,,,,,17118801.0,ns,57324
syntax__parse_event_union_iff,,,,,17821701.0,ns,60696
syntax__parse_event_union_iff,,,,,18886089.0,ns,64068
syntax__parse_event_union_iff,,,,,20040527.0,ns,67440
syntax__parse_event_union_iff,,,,,20890002.0,ns,70812
syntax__parse_event_union_iff,,,,,21906741.0,ns,74184
syntax__parse_event_union_iff,,,,,22927127.0,ns,77556
syntax__parse_event_union_iff,,,,,23963212.0,ns,80928
syntax__parse_event_union_iff,,,,,24796988.0,ns,84300
syntax__parse_event_union_iff,,,,,25728227.0,ns,87672
syntax__parse_event_union_iff,,,,,26838541.0,ns,91044
syntax__parse_event_union_iff,,,,,27745684.0,ns,94416
syntax__parse_event_union_iff,,,,,28763826.0,ns,97788
syntax__parse_event_union_iff,,,,,29837301.0,ns,101160
syntax__parse_event_union_iff,,,,,30799949.0,ns,104532
syntax__parse_event_union_iff,,,,,31808472.0,ns,107904
syntax__parse_event_union_iff,,,,,32955165.0,ns,111276
syntax__parse_event_union_iff,,,,,33942037.0,ns,114648
syntax__parse_event_union_iff,,,,,35254613.0,ns,118020
syntax__parse_event_union_iff,,,,,36078349.0,ns,121392
syntax__parse_event_union_iff,,,,,37090229.0,ns,124764
syntax__parse_event_union_iff,,,,,37830899.0,ns,128136
syntax__parse_event_union_iff,,,,,39253771.0,ns,131508
syntax__parse_event_union_iff,,,,,40413959.0,ns,134880
syntax__parse_event_union_iff,,,,,41919396.0,ns,138252
syntax__parse_event_union_iff,,,,,42337270.0,ns,141624
syntax__parse_event_union_iff,,,,,43427006.0,ns,144996
syntax__parse_event_union_iff,,,,,44448054.0,ns,148368
syntax__parse_event_union_iff,,,,,45410200.0,ns,151740
syntax__parse_event_union_iff,,,,,46571100.0,ns,155112
syntax__parse_event_union_iff,,,,,46810429.0,ns,158484
syntax__parse_event_union_iff,,,,,47385950.0,ns,161856
syntax__parse_event_union_iff,,,,,48499420.0,ns,165228
syntax__parse_event_union_iff,,,,,49648137.0,ns,168600
syntax__parse_event_union_iff,,,,,50606837.0,ns,171972
syntax__parse_event_union_iff,,,,,51509271.0,ns,175344
syntax__parse_event_union_iff,,,,,52435410.0,ns,178716
syntax__parse_event_union_iff,,,,,53855226.0,ns,182088
syntax__parse_event_union_iff,,,,,54942537.0,ns,185460
syntax__parse_event_union_iff,,,,,56204427.0,ns,188832
syntax__parse_event_union_iff,,,,,57533122.0,ns,192204
syntax__parse_event_union_iff,,,,,57666712.0,ns,195576
syntax__parse_event_union_iff,,,,,58920747.0,ns,198948
syntax__parse_event_union_iff,,,,,60034619.0,ns,202320
syntax__parse_event_union_iff,,,,,60897889.0,ns,205692
syntax__parse_event_union_iff,,,,,61711187.0,ns,209064
syntax__parse_event_union_iff,,,,,62661149.0,ns,212436
syntax__parse_event_union_iff,,,,,63508791.0,ns,215808
syntax__parse_event_union_iff,,,,,64694548.0,ns,219180
syntax__parse_event_union_iff,,,,,65403829.0,ns,222552
syntax__parse_event_union_iff,,,,,66195656.0,ns,225924
syntax__parse_event_union_iff,,,,,67318434.0,ns,229296
syntax__parse_event_union_iff,,,,,71243193.0,ns,232668
syntax__parse_event_union_iff,,,,,69078439.0,ns,236040
syntax__parse_event_union_iff,,,,,78741452.0,ns,239412
syntax__parse_event_union_iff,,,,,73060956.0,ns,242784
syntax__parse_event_union_iff,,,,,71716091.0,ns,246156
syntax__parse_event_union_iff,,,,,72620379.0,ns,249528
syntax__parse_event_union_iff,,,,,74173315.0,ns,252900
syntax__parse_event_union_iff,,,,,76316428.0,ns,256272
syntax__parse_event_union_iff,,,,,75713607.0,ns,259644
syntax__parse_event_union_iff,,,,,76698105.0,ns,263016
syntax__parse_event_union_iff,,,,,76829622.0,ns,266388
syntax__parse_event_union_iff,,,,,77706769.0,ns,269760
syntax__parse_event_union_iff,,,,,79449762.0,ns,273132
syntax__parse_event_union_iff,,,,,83133939.0,ns,276504
syntax__parse_event_union_iff,,,,,84371943.0,ns,279876
syntax__parse_event_union_iff,,,,,85329541.0,ns,283248
syntax__parse_event_union_iff,,,,,86596240.0,ns,286620
syntax__parse_event_union_iff,,,,,89234814.0,ns,289992
syntax__parse_event_union_iff,,,,,88149947.0,ns,293364
syntax__parse_event_union_iff,,,,,91584164.0,ns,296736
syntax__parse_event_union_iff,,,,,92064306.0,ns,300108
syntax__parse_event_union_iff,,,,,91020987.0,ns,303480
syntax__parse_event_union_iff,,,,,92074276.0,ns,306852
syntax__parse_event_union_iff,,,,,92420615.0,ns,310224
syntax__parse_event_union_iff,,,,,93082679.0,ns,313596
syntax__parse_event_union_iff,,,,,94347613.0,ns,316968
