group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
syntax__tokenize_union_iff,,,,,1150085.0,ns,4770
syntax__tokenize_union_iff,,,,,2086700.0,ns,9540
syntax__tokenize_union_iff,,,,,3611217.0,ns,14310
syntax__tokenize_union_iff,,,,,5066023.0,ns,19080
syntax__tokenize_union_iff,,,,,5127829.0,ns,23850
syntax__tokenize_union_iff,,,,,7016858.0,ns,28620
syntax__tokenize_union_iff,,,,,7452886.0,ns,33390
syntax__tokenize_union_iff,,,,,8328938.0,ns,38160
syntax__tokenize_union_iff,,,,,9750031.0,ns,42930
syntax__tokenize_union_iff,,,,,12068415.0,ns,47700
syntax__tokenize_union_iff,,,,,12596494.0,ns,52470
syntax__tokenize_union_iff,,,,,13320140.0,ns,57240
syntax__tokenize_union_iff,,,,,15421989.0,ns,62010
syntax__tokenize_union_iff,,,,,14237700.0,ns,66780
syntax__tokenize_union_iff,,,,,15214160.0,ns,71550
syntax__tokenize_union_iff,,,,,16186482.0,ns,76320
syntax__tokenize_union_iff,,,,,17170285.0,ns,81090
syntax__tokenize_union_iff,,,,,18107541.0,ns,85860
syntax__tokenize_union_iff,,,,,19124818.0,ns,90630
syntax__tokenize_union_iff,,,,,20095787.0,ns,95400
syntax__tokenize_union_iff,,,,,21102393.0,ns,100170
syntax__tokenize_union_iff,,,,,22051292.0,ns,104940
syntax__tokenize_union_iff,,,,,23188533.0,ns,109710
syntax__tokenize_union_iff,,,,,24163991.0,ns,114480
syntax__tokenize_union_iff,,,,,25210572.0,ns,119250
syntax__tokenize_union_iff,,,,,26447249.0,ns,124020
syntax__tokenize_union_iff,,,,,27802098.0,ns,128790
syntax__tokenize_union_iff,,,,,28588762.0,ns,133560
syntax__tokenize_union_iff,,,,,29593215.0,ns,138330
syntax__tokenize_union_iff,,,,,30507227.0,ns,143100
syntax__tokenize_union_iff,,,,,31553067.0,ns,147870
syntax__tokenize_union_iff,,,,,32545317.0,ns,152640
syntax__tokenize_union_iff,,,,,33769570.0,ns,157410
syntax__tokenize_union_iff,,,,,34915157.0,ns,162180
syntax__tokenize_union_iff,,,,,35923767.0,ns,166950
syntax__tokenize_union_iff,,,,,36973113.0,ns,171720
syntax__tokenize_union_iff,,,,,37511152.0,ns,176490
syntax__tokenize_union_iff,,,,,38942323.0,ns,181260
syntax__tokenize_union_iff,,,,,39638638.0,ns,186030
syntax__tokenize_union_iff,,,,,41074199.0,ns,190800
syntax__tokenize_union_iff,,,,,41647543.0,ns,195570
syntax__tokenize_union_iff,,,,,42945275.0,ns,200340
syntax__tokenize_union_iff,,,,,43357748.0,ns,205110
syntax__tokenize_union_iff,,,,,44732684.0,ns,209880
syntax__tokenize_union_iff,,,,,45915460.0,ns,214650
syntax__tokenize_union_iff,,,,,46949499.0,ns,219420
syntax__tokenize_union_iff,,,,,47691459.0,ns,224190
syntax__tokenize_union_iff,,,,,48715878.0,ns,228960
syntax__tokenize_union_iff,,,,,49602910.0,ns,233730
syntax__tokenize_union_iff,,,,,50583028.0,ns,238500
syntax__tokenize_union_iff,,,,,51417311.0,ns,243270
syntax__tokenize_union_iff,,,,,52703691.0,ns,248040
syntax__tokenize_union_iff,,,,,53793974.0,ns,252810
syntax__tokenize_union_iff,,,,,54858459.0,ns,257580
syntax__tokenize_union_iff,,,,,55826283.0,ns,262350
syntax__tokenize_union_iff,,,,,56564837.0,ns,267120
