group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
waveform_host__bind_waveform_host_metadata_path,,,,,1005204.0,ns,44
waveform_host__bind_waveform_host_metadata_path,,,,,2142216.0,ns,88
waveform_host__bind_waveform_host_metadata_path,,,,,2906419.0,ns,132
waveform_host__bind_waveform_host_metadata_path,,,,,3870887.0,ns,176
waveform_host__bind_waveform_host_metadata_path,,,,,5122243.0,ns,220
waveform_host__bind_waveform_host_metadata_path,,,,,5838125.0,ns,264
waveform_host__bind_waveform_host_metadata_path,,,,,6953466.0,ns,308
waveform_host__bind_waveform_host_metadata_path,,,,,8021087.0,ns,352
waveform_host__bind_waveform_host_metadata_path,,,,,8823382.0,ns,396
waveform_host__bind_waveform_host_metadata_path,,,,,10223236.0,ns,440
waveform_host__bind_waveform_host_metadata_path,,,,,11001776.0,ns,484
waveform_host__bind_waveform_host_metadata_path,,,,,11635664.0,ns,528
waveform_host__bind_waveform_host_metadata_path,,,,,12853017.0,ns,572
waveform_host__bind_waveform_host_metadata_path,,,,,13740971.0,ns,616
waveform_host__bind_waveform_host_metadata_path,,,,,14718995.0,ns,660
waveform_host__bind_waveform_host_metadata_path,,,,,16680062.0,ns,704
waveform_host__bind_waveform_host_metadata_path,,,,,16641499.0,ns,748
waveform_host__bind_waveform_host_metadata_path,,,,,19873499.0,ns,792
waveform_host__bind_waveform_host_metadata_path,,,,,18376071.0,ns,836
waveform_host__bind_waveform_host_metadata_path,,,,,19708640.0,ns,880
waveform_host__bind_waveform_host_metadata_path,,,,,20722771.0,ns,924
waveform_host__bind_waveform_host_metadata_path,,,,,21852118.0,ns,968
waveform_host__bind_waveform_host_metadata_path,,,,,22439289.0,ns,1012
waveform_host__bind_waveform_host_metadata_path,,,,,24787852.0,ns,1056
waveform_host__bind_waveform_host_metadata_path,,,,,26903648.0,ns,1100
waveform_host__bind_waveform_host_metadata_path,,,,,26375178.0,ns,1144
waveform_host__bind_waveform_host_metadata_path,,,,,26803210.0,ns,1188
waveform_host__bind_waveform_host_metadata_path,,,,,28093439.0,ns,1232
waveform_host__bind_waveform_host_metadata_path,,,,,28588287.0,ns,1276
waveform_host__bind_waveform_host_metadata_path,,,,,29650509.0,ns,1320
waveform_host__bind_waveform_host_metadata_path,,,,,33766305.0,ns,1364
waveform_host__bind_waveform_host_metadata_path,,,,,31000650.0,ns,1408
waveform_host__bind_waveform_host_metadata_path,,,,,32291970.0,ns,1452
waveform_host__bind_waveform_host_metadata_path,,,,,33338563.0,ns,1496
waveform_host__bind_waveform_host_metadata_path,,,,,34317488.0,ns,1540
waveform_host__bind_waveform_host_metadata_path,,,,,36252936.0,ns,1584
waveform_host__bind_waveform_host_metadata_path,,,,,36130607.0,ns,1628
waveform_host__bind_waveform_host_metadata_path,,,,,37304778.0,ns,1672
waveform_host__bind_waveform_host_metadata_path,,,,,38861437.0,ns,1716
waveform_host__bind_waveform_host_metadata_path,,,,,39921214.0,ns,1760
waveform_host__bind_waveform_host_metadata_path,,,,,42106731.0,ns,1804
waveform_host__bind_waveform_host_metadata_path,,,,,41079155.0,ns,1848
