group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokenize_union_iff,,,,,1007518.0,ns,5169
tokenize_union_iff,,,,,1993176.0,ns,10338
tokenize_union_iff,,,,,2969315.0,ns,15507
tokenize_union_iff,,,,,3974399.0,ns,20676
tokenize_union_iff,,,,,4967230.0,ns,25845
tokenize_union_iff,,,,,6000206.0,ns,31014
tokenize_union_iff,,,,,7005489.0,ns,36183
tokenize_union_iff,,,,,8055057.0,ns,41352
tokenize_union_iff,,,,,9090687.0,ns,46521
tokenize_union_iff,,,,,10083909.0,ns,51690
tokenize_union_iff,,,,,11038708.0,ns,56859
tokenize_union_iff,,,,,12228256.0,ns,62028
tokenize_union_iff,,,,,13239491.0,ns,67197
tokenize_union_iff,,,,,15499494.0,ns,72366
tokenize_union_iff,,,,,15752226.0,ns,77535
tokenize_union_iff,,,,,15510364.0,ns,82704
tokenize_union_iff,,,,,16652213.0,ns,87873
tokenize_union_iff,,,,,17763945.0,ns,93042
tokenize_union_iff,,,,,18848267.0,ns,98211
tokenize_union_iff,,,,,19739518.0,ns,103380
tokenize_union_iff,,,,,20554508.0,ns,108549
tokenize_union_iff,,,,,22660133.0,ns,113718
tokenize_union_iff,,,,,23284687.0,ns,118887
tokenize_union_iff,,,,,23989711.0,ns,124056
tokenize_union_iff,,,,,25156777.0,ns,129225
tokenize_union_iff,,,,,25489447.0,ns,134394
tokenize_union_iff,,,,,26516742.0,ns,139563
tokenize_union_iff,,,,,27567792.0,ns,144732
tokenize_union_iff,,,,,28417055.0,ns,149901
tokenize_union_iff,,,,,29526513.0,ns,155070
tokenize_union_iff,,,,,30390354.0,ns,160239
tokenize_union_iff,,,,,31299929.0,ns,165408
tokenize_union_iff,,,,,32194257.0,ns,170577
tokenize_union_iff,,,,,33158995.0,ns,175746
tokenize_union_iff,,,,,34249538.0,ns,180915
tokenize_union_iff,,,,,35120542.0,ns,186084
tokenize_union_iff,,,,,36186178.0,ns,191253
tokenize_union_iff,,,,,37119969.0,ns,196422
tokenize_union_iff,,,,,38096800.0,ns,201591
tokenize_union_iff,,,,,39167236.0,ns,206760
tokenize_union_iff,,,,,40009717.0,ns,211929
tokenize_union_iff,,,,,40991798.0,ns,217098
tokenize_union_iff,,,,,42013683.0,ns,222267
tokenize_union_iff,,,,,42733604.0,ns,227436
tokenize_union_iff,,,,,43864313.0,ns,232605
tokenize_union_iff,,,,,44686295.0,ns,237774
tokenize_union_iff,,,,,45741491.0,ns,242943
tokenize_union_iff,,,,,46741526.0,ns,248112
tokenize_union_iff,,,,,47642615.0,ns,253281
tokenize_union_iff,,,,,48854214.0,ns,258450
tokenize_union_iff,,,,,49781223.0,ns,263619
tokenize_union_iff,,,,,50745941.0,ns,268788
tokenize_union_iff,,,,,51799876.0,ns,273957
tokenize_union_iff,,,,,52749776.0,ns,279126
tokenize_union_iff,,,,,53804112.0,ns,284295
tokenize_union_iff,,,,,56521097.0,ns,289464
tokenize_union_iff,,,,,56708887.0,ns,294633
tokenize_union_iff,,,,,56843268.0,ns,299802
tokenize_union_iff,,,,,57723900.0,ns,304971
tokenize_union_iff,,,,,58613710.0,ns,310140
tokenize_union_iff,,,,,59462221.0,ns,315309
tokenize_union_iff,,,,,60682095.0,ns,320478
tokenize_union_iff,,,,,61607701.0,ns,325647
tokenize_union_iff,,,,,62632952.0,ns,330816
tokenize_union_iff,,,,,64060363.0,ns,335985
tokenize_union_iff,,,,,65150124.0,ns,341154
tokenize_union_iff,,,,,65994809.0,ns,346323
tokenize_union_iff,,,,,67871598.0,ns,351492
tokenize_union_iff,,,,,73116796.0,ns,356661
tokenize_union_iff,,,,,70179060.0,ns,361830
tokenize_union_iff,,,,,71532573.0,ns,366999
tokenize_union_iff,,,,,73342106.0,ns,372168
tokenize_union_iff,,,,,73559451.0,ns,377337
tokenize_union_iff,,,,,74451125.0,ns,382506
tokenize_union_iff,,,,,75805971.0,ns,387675
tokenize_union_iff,,,,,76278973.0,ns,392844
tokenize_union_iff,,,,,77095555.0,ns,398013
tokenize_union_iff,,,,,77982599.0,ns,403182
tokenize_union_iff,,,,,79211219.0,ns,408351
tokenize_union_iff,,,,,80214449.0,ns,413520
tokenize_union_iff,,,,,81393217.0,ns,418689
tokenize_union_iff,,,,,82424810.0,ns,423858
tokenize_union_iff,,,,,83314218.0,ns,429027
tokenize_union_iff,,,,,84174261.0,ns,434196
tokenize_union_iff,,,,,85791576.0,ns,439365
tokenize_union_iff,,,,,86062452.0,ns,444534
tokenize_union_iff,,,,,86912288.0,ns,449703
tokenize_union_iff,,,,,88188386.0,ns,454872
tokenize_union_iff,,,,,89135322.0,ns,460041
tokenize_union_iff,,,,,90202511.0,ns,465210
tokenize_union_iff,,,,,90931851.0,ns,470379
tokenize_union_iff,,,,,92076214.0,ns,475548
tokenize_union_iff,,,,,94166341.0,ns,480717
tokenize_union_iff,,,,,94493110.0,ns,485886
tokenize_union_iff,,,,,96377743.0,ns,491055
tokenize_union_iff,,,,,95517019.0,ns,496224
tokenize_union_iff,,,,,95983198.0,ns,501393
tokenize_union_iff,,,,,97775682.0,ns,506562
tokenize_union_iff,,,,,98461239.0,ns,511731
tokenize_union_iff,,,,,99049907.0,ns,516900
