group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse_event_union_iff,,,,,944997.0,ns,1262
parse_event_union_iff,,,,,1918177.0,ns,2524
parse_event_union_iff,,,,,2946109.0,ns,3786
parse_event_union_iff,,,,,3875628.0,ns,5048
parse_event_union_iff,,,,,4964534.0,ns,6310
parse_event_union_iff,,,,,5962270.0,ns,7572
parse_event_union_iff,,,,,6744112.0,ns,8834
parse_event_union_iff,,,,,7919891.0,ns,10096
parse_event_union_iff,,,,,8666918.0,ns,11358
parse_event_union_iff,,,,,9674702.0,ns,12620
parse_event_union_iff,,,,,10598359.0,ns,13882
parse_event_union_iff,,,,,11536754.0,ns,15144
parse_event_union_iff,,,,,12491890.0,ns,16406
parse_event_union_iff,,,,,13512750.0,ns,17668
parse_event_union_iff,,,,,14404448.0,ns,18930
parse_event_union_iff,,,,,15465972.0,ns,20192
parse_event_union_iff,,,,,16379651.0,ns,21454
parse_event_union_iff,,,,,17322133.0,ns,22716
parse_event_union_iff,,,,,18297167.0,ns,23978
parse_event_union_iff,,,,,19225323.0,ns,25240
parse_event_union_iff,,,,,20128451.0,ns,26502
parse_event_union_iff,,,,,21063390.0,ns,27764
parse_event_union_iff,,,,,22326522.0,ns,29026
parse_event_union_iff,,,,,23035187.0,ns,30288
parse_event_union_iff,,,,,24196349.0,ns,31550
parse_event_union_iff,,,,,25282169.0,ns,32812
parse_event_union_iff,,,,,26041109.0,ns,34074
parse_event_union_iff,,,,,27662802.0,ns,35336
parse_event_union_iff,,,,,27868126.0,ns,36598
parse_event_union_iff,,,,,28550211.0,ns,37860
parse_event_union_iff,,,,,29750315.0,ns,39122
parse_event_union_iff,,,,,36592952.0,ns,40384
parse_event_union_iff,,,,,33614281.0,ns,41646
parse_event_union_iff,,,,,32495048.0,ns,42908
parse_event_union_iff,,,,,33537628.0,ns,44170
parse_event_union_iff,,,,,35468829.0,ns,45432
parse_event_union_iff,,,,,36079141.0,ns,46694
parse_event_union_iff,,,,,35833100.0,ns,47956
parse_event_union_iff,,,,,36898422.0,ns,49218
parse_event_union_iff,,,,,37871162.0,ns,50480
parse_event_union_iff,,,,,38890478.0,ns,51742
parse_event_union_iff,,,,,39739797.0,ns,53004
parse_event_union_iff,,,,,40696485.0,ns,54266
parse_event_union_iff,,,,,41715681.0,ns,55528
parse_event_union_iff,,,,,42643607.0,ns,56790
parse_event_union_iff,,,,,43959498.0,ns,58052
parse_event_union_iff,,,,,45153951.0,ns,59314
parse_event_union_iff,,,,,46104288.0,ns,60576
parse_event_union_iff,,,,,46405492.0,ns,61838
parse_event_union_iff,,,,,47787396.0,ns,63100
parse_event_union_iff,,,,,49303502.0,ns,64362
parse_event_union_iff,,,,,50297289.0,ns,65624
parse_event_union_iff,,,,,51299214.0,ns,66886
parse_event_union_iff,,,,,52696868.0,ns,68148
parse_event_union_iff,,,,,69275592.0,ns,69410
parse_event_union_iff,,,,,61102006.0,ns,70672
parse_event_union_iff,,,,,57101054.0,ns,71934
parse_event_union_iff,,,,,59902292.0,ns,73196
parse_event_union_iff,,,,,61623341.0,ns,74458
parse_event_union_iff,,,,,62943591.0,ns,75720
parse_event_union_iff,,,,,64131923.0,ns,76982
parse_event_union_iff,,,,,64987252.0,ns,78244
parse_event_union_iff,,,,,63740911.0,ns,79506
parse_event_union_iff,,,,,62099252.0,ns,80768
parse_event_union_iff,,,,,63883438.0,ns,82030
parse_event_union_iff,,,,,62560925.0,ns,83292
parse_event_union_iff,,,,,64012449.0,ns,84554
parse_event_union_iff,,,,,65839526.0,ns,85816
parse_event_union_iff,,,,,66615979.0,ns,87078
parse_event_union_iff,,,,,67566627.0,ns,88340
parse_event_union_iff,,,,,68358779.0,ns,89602
parse_event_union_iff,,,,,69369098.0,ns,90864
parse_event_union_iff,,,,,70174974.0,ns,92126
parse_event_union_iff,,,,,71416707.0,ns,93388
parse_event_union_iff,,,,,72134609.0,ns,94650
parse_event_union_iff,,,,,73177159.0,ns,95912
parse_event_union_iff,,,,,74063387.0,ns,97174
parse_event_union_iff,,,,,75336778.0,ns,98436
parse_event_union_iff,,,,,80641689.0,ns,99698
parse_event_union_iff,,,,,83951348.0,ns,100960
parse_event_union_iff,,,,,84935939.0,ns,102222
parse_event_union_iff,,,,,86037650.0,ns,103484
parse_event_union_iff,,,,,86679902.0,ns,104746
parse_event_union_iff,,,,,87641551.0,ns,106008
parse_event_union_iff,,,,,88538508.0,ns,107270
parse_event_union_iff,,,,,84659003.0,ns,108532
parse_event_union_iff,,,,,84300542.0,ns,109794
parse_event_union_iff,,,,,85342291.0,ns,111056
parse_event_union_iff,,,,,86286958.0,ns,112318
parse_event_union_iff,,,,,87392876.0,ns,113580
parse_event_union_iff,,,,,88409587.0,ns,114842
parse_event_union_iff,,,,,89354214.0,ns,116104
parse_event_union_iff,,,,,90533930.0,ns,117366
parse_event_union_iff,,,,,91404319.0,ns,118628
parse_event_union_iff,,,,,92240593.0,ns,119890
parse_event_union_iff,,,,,93279075.0,ns,121152
parse_event_union_iff,,,,,94070165.0,ns,122414
parse_event_union_iff,,,,,95889657.0,ns,123676
parse_event_union_iff,,,,,96910937.0,ns,124938
parse_event_union_iff,,,,,97888856.0,ns,126200
