group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse_event_malformed,,,,,994054.0,ns,6576
parse_event_malformed,,,,,1995732.0,ns,13152
parse_event_malformed,,,,,2980429.0,ns,19728
parse_event_malformed,,,,,3978029.0,ns,26304
parse_event_malformed,,,,,4995276.0,ns,32880
parse_event_malformed,,,,,5993568.0,ns,39456
parse_event_malformed,,,,,6958417.0,ns,46032
parse_event_malformed,,,,,7985042.0,ns,52608
parse_event_malformed,,,,,8921819.0,ns,59184
parse_event_malformed,,,,,9948543.0,ns,65760
parse_event_malformed,,,,,10919114.0,ns,72336
parse_event_malformed,,,,,11984461.0,ns,78912
parse_event_malformed,,,,,12932378.0,ns,85488
parse_event_malformed,,,,,13986134.0,ns,92064
parse_event_malformed,,,,,14937989.0,ns,98640
parse_event_malformed,,,,,15968962.0,ns,105216
parse_event_malformed,,,,,16948278.0,ns,111792
parse_event_malformed,,,,,17996052.0,ns,118368
parse_event_malformed,,,,,18912721.0,ns,124944
parse_event_malformed,,,,,19920761.0,ns,131520
parse_event_malformed,,,,,20913012.0,ns,138096
parse_event_malformed,,,,,21936200.0,ns,144672
parse_event_malformed,,,,,22954279.0,ns,151248
parse_event_malformed,,,,,23861140.0,ns,157824
parse_event_malformed,,,,,24794762.0,ns,164400
parse_event_malformed,,,,,25884234.0,ns,170976
parse_event_malformed,,,,,26844054.0,ns,177552
parse_event_malformed,,,,,27821888.0,ns,184128
parse_event_malformed,,,,,28901110.0,ns,190704
parse_event_malformed,,,,,29947592.0,ns,197280
parse_event_malformed,,,,,30827694.0,ns,203856
parse_event_malformed,,,,,31860640.0,ns,210432
parse_event_malformed,,,,,32936196.0,ns,217008
parse_event_malformed,,,,,33729556.0,ns,223584
parse_event_malformed,,,,,34820370.0,ns,230160
parse_event_malformed,,,,,35982397.0,ns,236736
parse_event_malformed,,,,,36880332.0,ns,243312
parse_event_malformed,,,,,37635721.0,ns,249888
parse_event_malformed,,,,,38476028.0,ns,256464
parse_event_malformed,,,,,39783616.0,ns,263040
parse_event_malformed,,,,,40768192.0,ns,269616
parse_event_malformed,,,,,41651269.0,ns,276192
parse_event_malformed,,,,,42752363.0,ns,282768
parse_event_malformed,,,,,43883472.0,ns,289344
parse_event_malformed,,,,,44984616.0,ns,295920
parse_event_malformed,,,,,45625111.0,ns,302496
parse_event_malformed,,,,,46685418.0,ns,309072
parse_event_malformed,,,,,47737450.0,ns,315648
parse_event_malformed,,,,,48646195.0,ns,322224
parse_event_malformed,,,,,50057477.0,ns,328800
parse_event_malformed,,,,,50734059.0,ns,335376
parse_event_malformed,,,,,51673942.0,ns,341952
parse_event_malformed,,,,,52612914.0,ns,348528
parse_event_malformed,,,,,53596117.0,ns,355104
parse_event_malformed,,,,,54800003.0,ns,361680
parse_event_malformed,,,,,55987808.0,ns,368256
parse_event_malformed,,,,,56323033.0,ns,374832
parse_event_malformed,,,,,57346892.0,ns,381408
parse_event_malformed,,,,,58469506.0,ns,387984
parse_event_malformed,,,,,59930481.0,ns,394560
parse_event_malformed,,,,,60098444.0,ns,401136
parse_event_malformed,,,,,61047624.0,ns,407712
parse_event_malformed,,,,,61853417.0,ns,414288
parse_event_malformed,,,,,62909016.0,ns,420864
parse_event_malformed,,,,,63898821.0,ns,427440
parse_event_malformed,,,,,64970401.0,ns,434016
parse_event_malformed,,,,,66143689.0,ns,440592
parse_event_malformed,,,,,66994015.0,ns,447168
parse_event_malformed,,,,,67905214.0,ns,453744
parse_event_malformed,,,,,68757465.0,ns,460320
parse_event_malformed,,,,,69998659.0,ns,466896
parse_event_malformed,,,,,70953189.0,ns,473472
parse_event_malformed,,,,,72132880.0,ns,480048
parse_event_malformed,,,,,73321707.0,ns,486624
parse_event_malformed,,,,,77116304.0,ns,493200
parse_event_malformed,,,,,79528823.0,ns,499776
parse_event_malformed,,,,,82482582.0,ns,506352
parse_event_malformed,,,,,78663800.0,ns,512928
parse_event_malformed,,,,,79218184.0,ns,519504
parse_event_malformed,,,,,79885739.0,ns,526080
parse_event_malformed,,,,,82095079.0,ns,532656
parse_event_malformed,,,,,82887428.0,ns,539232
parse_event_malformed,,,,,84048594.0,ns,545808
parse_event_malformed,,,,,85012191.0,ns,552384
parse_event_malformed,,,,,86202771.0,ns,558960
parse_event_malformed,,,,,87077844.0,ns,565536
parse_event_malformed,,,,,88105701.0,ns,572112
parse_event_malformed,,,,,89004767.0,ns,578688
parse_event_malformed,,,,,90398527.0,ns,585264
parse_event_malformed,,,,,90874955.0,ns,591840
parse_event_malformed,,,,,91957674.0,ns,598416
parse_event_malformed,,,,,94830563.0,ns,604992
parse_event_malformed,,,,,95668255.0,ns,611568
parse_event_malformed,,,,,94387678.0,ns,618144
parse_event_malformed,,,,,95320718.0,ns,624720
parse_event_malformed,,,,,96587261.0,ns,631296
parse_event_malformed,,,,,99982984.0,ns,637872
parse_event_malformed,,,,,99194644.0,ns,644448
parse_event_malformed,,,,,100108298.0,ns,651024
parse_event_malformed,,,,,101474676.0,ns,657600
