group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_event_union_iff,,,,,994871.0,ns,1407
bind_event_union_iff,,,,,1979422.0,ns,2814
bind_event_union_iff,,,,,2967119.0,ns,4221
bind_event_union_iff,,,,,3947984.0,ns,5628
bind_event_union_iff,,,,,4942976.0,ns,7035
bind_event_union_iff,,,,,6192803.0,ns,8442
bind_event_union_iff,,,,,6930783.0,ns,9849
bind_event_union_iff,,,,,7940232.0,ns,11256
bind_event_union_iff,,,,,8898724.0,ns,12663
bind_event_union_iff,,,,,9809258.0,ns,14070
bind_event_union_iff,,,,,10868128.0,ns,15477
bind_event_union_iff,,,,,11865513.0,ns,16884
bind_event_union_iff,,,,,12870673.0,ns,18291
bind_event_union_iff,,,,,13830849.0,ns,19698
bind_event_union_iff,,,,,14794892.0,ns,21105
bind_event_union_iff,,,,,15758285.0,ns,22512
bind_event_union_iff,,,,,16720334.0,ns,23919
bind_event_union_iff,,,,,17761180.0,ns,25326
bind_event_union_iff,,,,,18635186.0,ns,26733
bind_event_union_iff,,,,,19719133.0,ns,28140
bind_event_union_iff,,,,,20618425.0,ns,29547
bind_event_union_iff,,,,,21649413.0,ns,30954
bind_event_union_iff,,,,,22636630.0,ns,32361
bind_event_union_iff,,,,,23686524.0,ns,33768
bind_event_union_iff,,,,,24629046.0,ns,35175
bind_event_union_iff,,,,,25581799.0,ns,36582
bind_event_union_iff,,,,,26700921.0,ns,37989
bind_event_union_iff,,,,,27598621.0,ns,39396
bind_event_union_iff,,,,,28611555.0,ns,40803
bind_event_union_iff,,,,,29597991.0,ns,42210
bind_event_union_iff,,,,,30578624.0,ns,43617
bind_event_union_iff,,,,,31640470.0,ns,45024
bind_event_union_iff,,,,,32588154.0,ns,46431
bind_event_union_iff,,,,,33407836.0,ns,47838
bind_event_union_iff,,,,,34347755.0,ns,49245
bind_event_union_iff,,,,,35445648.0,ns,50652
bind_event_union_iff,,,,,36298794.0,ns,52059
bind_event_union_iff,,,,,37164133.0,ns,53466
bind_event_union_iff,,,,,38322730.0,ns,54873
bind_event_union_iff,,,,,39210419.0,ns,56280
bind_event_union_iff,,,,,40319645.0,ns,57687
bind_event_union_iff,,,,,41454176.0,ns,59094
bind_event_union_iff,,,,,42680501.0,ns,60501
bind_event_union_iff,,,,,43342678.0,ns,61908
bind_event_union_iff,,,,,44415926.0,ns,63315
bind_event_union_iff,,,,,45342189.0,ns,64722
bind_event_union_iff,,,,,46405828.0,ns,66129
bind_event_union_iff,,,,,47221974.0,ns,67536
bind_event_union_iff,,,,,48112310.0,ns,68943
bind_event_union_iff,,,,,54314972.0,ns,70350
bind_event_union_iff,,,,,50538247.0,ns,71757
bind_event_union_iff,,,,,51326462.0,ns,73164
bind_event_union_iff,,,,,52346339.0,ns,74571
bind_event_union_iff,,,,,53413045.0,ns,75978
bind_event_union_iff,,,,,54258516.0,ns,77385
bind_event_union_iff,,,,,54995935.0,ns,78792
bind_event_union_iff,,,,,55832911.0,ns,80199
bind_event_union_iff,,,,,56891351.0,ns,81606
bind_event_union_iff,,,,,57866354.0,ns,83013
bind_event_union_iff,,,,,58900419.0,ns,84420
bind_event_union_iff,,,,,59866896.0,ns,85827
bind_event_union_iff,,,,,60651042.0,ns,87234
bind_event_union_iff,,,,,61822494.0,ns,88641
bind_event_union_iff,,,,,62841680.0,ns,90048
bind_event_union_iff,,,,,63768384.0,ns,91455
bind_event_union_iff,,,,,65168292.0,ns,92862
bind_event_union_iff,,,,,66559644.0,ns,94269
bind_event_union_iff,,,,,67678036.0,ns,95676
bind_event_union_iff,,,,,68552671.0,ns,97083
bind_event_union_iff,,,,,69594621.0,ns,98490
bind_event_union_iff,,,,,70528568.0,ns,99897
bind_event_union_iff,,,,,71492611.0,ns,101304
bind_event_union_iff,,,,,72345736.0,ns,102711
bind_event_union_iff,,,,,73629067.0,ns,104118
bind_event_union_iff,,,,,74644437.0,ns,105525
bind_event_union_iff,,,,,84416664.0,ns,106932
bind_event_union_iff,,,,,76052991.0,ns,108339
bind_event_union_iff,,,,,77059974.0,ns,109746
bind_event_union_iff,,,,,77931604.0,ns,111153
bind_event_union_iff,,,,,78840755.0,ns,112560
bind_event_union_iff,,,,,79712846.0,ns,113967
bind_event_union_iff,,,,,80518453.0,ns,115374
bind_event_union_iff,,,,,81570351.0,ns,116781
bind_event_union_iff,,,,,84012649.0,ns,118188
bind_event_union_iff,,,,,83398240.0,ns,119595
bind_event_union_iff,,,,,84120410.0,ns,121002
bind_event_union_iff,,,,,84969729.0,ns,122409
bind_event_union_iff,,,,,86453785.0,ns,123816
bind_event_union_iff,,,,,87573990.0,ns,125223
bind_event_union_iff,,,,,88489172.0,ns,126630
bind_event_union_iff,,,,,92722510.0,ns,128037
bind_event_union_iff,,,,,90742507.0,ns,129444
bind_event_union_iff,,,,,91987675.0,ns,130851
bind_event_union_iff,,,,,92511615.0,ns,132258
bind_event_union_iff,,,,,93346848.0,ns,133665
bind_event_union_iff,,,,,94237625.0,ns,135072
bind_event_union_iff,,,,,95457797.0,ns,136479
bind_event_union_iff,,,,,96052839.0,ns,137886
bind_event_union_iff,,,,,96890186.0,ns,139293
bind_event_union_iff,,,,,98307366.0,ns,140700
