group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_event_union_iff,,,,,1013642.0,ns,1385
bind_event_union_iff,,,,,2039817.0,ns,2770
bind_event_union_iff,,,,,3043310.0,ns,4155
bind_event_union_iff,,,,,4084133.0,ns,5540
bind_event_union_iff,,,,,5062258.0,ns,6925
bind_event_union_iff,,,,,6091279.0,ns,8310
bind_event_union_iff,,,,,7100522.0,ns,9695
bind_event_union_iff,,,,,8127148.0,ns,11080
bind_event_union_iff,,,,,9201814.0,ns,12465
bind_event_union_iff,,,,,10172746.0,ns,13850
bind_event_union_iff,,,,,11197850.0,ns,15235
bind_event_union_iff,,,,,12177267.0,ns,16620
bind_event_union_iff,,,,,13190869.0,ns,18005
bind_event_union_iff,,,,,14176918.0,ns,19390
bind_event_union_iff,,,,,15174240.0,ns,20775
bind_event_union_iff,,,,,16210083.0,ns,22160
bind_event_union_iff,,,,,17241359.0,ns,23545
bind_event_union_iff,,,,,18493968.0,ns,24930
bind_event_union_iff,,,,,19509323.0,ns,26315
bind_event_union_iff,,,,,20517455.0,ns,27700
bind_event_union_iff,,,,,21526688.0,ns,29085
bind_event_union_iff,,,,,22544427.0,ns,30470
bind_event_union_iff,,,,,23627039.0,ns,31855
bind_event_union_iff,,,,,24618710.0,ns,33240
bind_event_union_iff,,,,,25576015.0,ns,34625
bind_event_union_iff,,,,,26670168.0,ns,36010
bind_event_union_iff,,,,,27586377.0,ns,37395
bind_event_union_iff,,,,,28648590.0,ns,38780
bind_event_union_iff,,,,,29681087.0,ns,40165
bind_event_union_iff,,,,,30732079.0,ns,41550
bind_event_union_iff,,,,,31642798.0,ns,42935
bind_event_union_iff,,,,,32723265.0,ns,44320
bind_event_union_iff,,,,,33839139.0,ns,45705
bind_event_union_iff,,,,,35367647.0,ns,47090
bind_event_union_iff,,,,,36342816.0,ns,48475
bind_event_union_iff,,,,,37295374.0,ns,49860
bind_event_union_iff,,,,,38373316.0,ns,51245
bind_event_union_iff,,,,,39374884.0,ns,52630
bind_event_union_iff,,,,,40573043.0,ns,54015
bind_event_union_iff,,,,,41580954.0,ns,55400
bind_event_union_iff,,,,,42971613.0,ns,56785
bind_event_union_iff,,,,,44206239.0,ns,58170
bind_event_union_iff,,,,,44842693.0,ns,59555
bind_event_union_iff,,,,,46053014.0,ns,60940
bind_event_union_iff,,,,,46794696.0,ns,62325
bind_event_union_iff,,,,,48067945.0,ns,63710
bind_event_union_iff,,,,,49000875.0,ns,65095
bind_event_union_iff,,,,,50083897.0,ns,66480
bind_event_union_iff,,,,,51202054.0,ns,67865
bind_event_union_iff,,,,,51846324.0,ns,69250
bind_event_union_iff,,,,,52998275.0,ns,70635
bind_event_union_iff,,,,,53887533.0,ns,72020
bind_event_union_iff,,,,,56495946.0,ns,73405
bind_event_union_iff,,,,,56000939.0,ns,74790
bind_event_union_iff,,,,,60737274.0,ns,76175
bind_event_union_iff,,,,,58220192.0,ns,77560
bind_event_union_iff,,,,,59234275.0,ns,78945
bind_event_union_iff,,,,,60466466.0,ns,80330
bind_event_union_iff,,,,,61652993.0,ns,81715
bind_event_union_iff,,,,,62445339.0,ns,83100
bind_event_union_iff,,,,,63622658.0,ns,84485
bind_event_union_iff,,,,,64711130.0,ns,85870
bind_event_union_iff,,,,,65735632.0,ns,87255
bind_event_union_iff,,,,,66880490.0,ns,88640
bind_event_union_iff,,,,,67722029.0,ns,90025
bind_event_union_iff,,,,,68406994.0,ns,91410
bind_event_union_iff,,,,,69543636.0,ns,92795
bind_event_union_iff,,,,,70230465.0,ns,94180
bind_event_union_iff,,,,,72020213.0,ns,95565
bind_event_union_iff,,,,,72765140.0,ns,96950
bind_event_union_iff,,,,,73572315.0,ns,98335
bind_event_union_iff,,,,,74726360.0,ns,99720
bind_event_union_iff,,,,,75710878.0,ns,101105
bind_event_union_iff,,,,,76964710.0,ns,102490
bind_event_union_iff,,,,,78202443.0,ns,103875
bind_event_union_iff,,,,,80003091.0,ns,105260
bind_event_union_iff,,,,,83838977.0,ns,106645
bind_event_union_iff,,,,,84588985.0,ns,108030
bind_event_union_iff,,,,,82302404.0,ns,109415
bind_event_union_iff,,,,,83361130.0,ns,110800
bind_event_union_iff,,,,,84375143.0,ns,112185
bind_event_union_iff,,,,,87889506.0,ns,113570
bind_event_union_iff,,,,,88787010.0,ns,114955
bind_event_union_iff,,,,,89526508.0,ns,116340
bind_event_union_iff,,,,,89839194.0,ns,117725
bind_event_union_iff,,,,,90964676.0,ns,119110
bind_event_union_iff,,,,,92044642.0,ns,120495
bind_event_union_iff,,,,,93210490.0,ns,121880
bind_event_union_iff,,,,,94251784.0,ns,123265
bind_event_union_iff,,,,,95212015.0,ns,124650
bind_event_union_iff,,,,,96205018.0,ns,126035
bind_event_union_iff,,,,,97460113.0,ns,127420
bind_event_union_iff,,,,,98387332.0,ns,128805
bind_event_union_iff,,,,,99522822.0,ns,130190
bind_event_union_iff,,,,,102209864.0,ns,131575
bind_event_union_iff,,,,,102017743.0,ns,132960
bind_event_union_iff,,,,,103309527.0,ns,134345
bind_event_union_iff,,,,,101524939.0,ns,135730
bind_event_union_iff,,,,,102411291.0,ns,137115
bind_event_union_iff,,,,,103343710.0,ns,138500
