group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_logical_core_integral,,,,,1008824.0,ns,1640
bind_logical_core_integral,,,,,1951635.0,ns,3280
bind_logical_core_integral,,,,,2924502.0,ns,4920
bind_logical_core_integral,,,,,4473466.0,ns,6560
bind_logical_core_integral,,,,,5372143.0,ns,8200
bind_logical_core_integral,,,,,5860455.0,ns,9840
bind_logical_core_integral,,,,,6724246.0,ns,11480
bind_logical_core_integral,,,,,7792353.0,ns,13120
bind_logical_core_integral,,,,,8718773.0,ns,14760
bind_logical_core_integral,,,,,9673535.0,ns,16400
bind_logical_core_integral,,,,,10698230.0,ns,18040
bind_logical_core_integral,,,,,11614931.0,ns,19680
bind_logical_core_integral,,,,,12634575.0,ns,21320
bind_logical_core_integral,,,,,13598225.0,ns,22960
bind_logical_core_integral,,,,,14558679.0,ns,24600
bind_logical_core_integral,,,,,15563245.0,ns,26240
bind_logical_core_integral,,,,,16481108.0,ns,27880
bind_logical_core_integral,,,,,17712013.0,ns,29520
bind_logical_core_integral,,,,,18928961.0,ns,31160
bind_logical_core_integral,,,,,19933958.0,ns,32800
bind_logical_core_integral,,,,,20969874.0,ns,34440
bind_logical_core_integral,,,,,22172335.0,ns,36080
bind_logical_core_integral,,,,,22934153.0,ns,37720
bind_logical_core_integral,,,,,23870481.0,ns,39360
bind_logical_core_integral,,,,,24771893.0,ns,41000
bind_logical_core_integral,,,,,25818539.0,ns,42640
bind_logical_core_integral,,,,,26686478.0,ns,44280
bind_logical_core_integral,,,,,27589092.0,ns,45920
bind_logical_core_integral,,,,,28462060.0,ns,47560
bind_logical_core_integral,,,,,29564041.0,ns,49200
bind_logical_core_integral,,,,,30669648.0,ns,50840
bind_logical_core_integral,,,,,31638908.0,ns,52480
bind_logical_core_integral,,,,,32608099.0,ns,54120
bind_logical_core_integral,,,,,32716042.0,ns,55760
bind_logical_core_integral,,,,,34219752.0,ns,57400
bind_logical_core_integral,,,,,34381347.0,ns,59040
bind_logical_core_integral,,,,,35239086.0,ns,60680
bind_logical_core_integral,,,,,36536626.0,ns,62320
bind_logical_core_integral,,,,,37401449.0,ns,63960
bind_logical_core_integral,,,,,38724888.0,ns,65600
bind_logical_core_integral,,,,,39750434.0,ns,67240
bind_logical_core_integral,,,,,40830974.0,ns,68880
bind_logical_core_integral,,,,,41695757.0,ns,70520
bind_logical_core_integral,,,,,42327921.0,ns,72160
bind_logical_core_integral,,,,,42979902.0,ns,73800
bind_logical_core_integral,,,,,44121858.0,ns,75440
bind_logical_core_integral,,,,,44907812.0,ns,77080
bind_logical_core_integral,,,,,45924682.0,ns,78720
bind_logical_core_integral,,,,,46792972.0,ns,80360
bind_logical_core_integral,,,,,48238961.0,ns,82000
bind_logical_core_integral,,,,,49261673.0,ns,83640
bind_logical_core_integral,,,,,50578920.0,ns,85280
bind_logical_core_integral,,,,,51423686.0,ns,86920
bind_logical_core_integral,,,,,52571633.0,ns,88560
bind_logical_core_integral,,,,,53423040.0,ns,90200
bind_logical_core_integral,,,,,54113744.0,ns,91840
bind_logical_core_integral,,,,,55102471.0,ns,93480
bind_logical_core_integral,,,,,56032267.0,ns,95120
bind_logical_core_integral,,,,,57226402.0,ns,96760
bind_logical_core_integral,,,,,58047091.0,ns,98400
bind_logical_core_integral,,,,,58945748.0,ns,100040
bind_logical_core_integral,,,,,59763742.0,ns,101680
bind_logical_core_integral,,,,,61035143.0,ns,103320
bind_logical_core_integral,,,,,62390041.0,ns,104960
bind_logical_core_integral,,,,,63679405.0,ns,106600
bind_logical_core_integral,,,,,64423039.0,ns,108240
bind_logical_core_integral,,,,,65417137.0,ns,109880
bind_logical_core_integral,,,,,66532723.0,ns,111520
bind_logical_core_integral,,,,,67385253.0,ns,113160
bind_logical_core_integral,,,,,68287306.0,ns,114800
bind_logical_core_integral,,,,,69258139.0,ns,116440
bind_logical_core_integral,,,,,70323250.0,ns,118080
bind_logical_core_integral,,,,,70916801.0,ns,119720
bind_logical_core_integral,,,,,71632732.0,ns,121360
bind_logical_core_integral,,,,,72732860.0,ns,123000
bind_logical_core_integral,,,,,74879132.0,ns,124640
bind_logical_core_integral,,,,,77403388.0,ns,126280
bind_logical_core_integral,,,,,76078657.0,ns,127920
bind_logical_core_integral,,,,,76862167.0,ns,129560
bind_logical_core_integral,,,,,78055159.0,ns,131200
bind_logical_core_integral,,,,,78988992.0,ns,132840
bind_logical_core_integral,,,,,80247308.0,ns,134480
bind_logical_core_integral,,,,,80812806.0,ns,136120
bind_logical_core_integral,,,,,81970892.0,ns,137760
bind_logical_core_integral,,,,,83073645.0,ns,139400
bind_logical_core_integral,,,,,83960058.0,ns,141040
bind_logical_core_integral,,,,,84957933.0,ns,142680
bind_logical_core_integral,,,,,85705664.0,ns,144320
bind_logical_core_integral,,,,,88317275.0,ns,145960
bind_logical_core_integral,,,,,87046286.0,ns,147600
bind_logical_core_integral,,,,,88717641.0,ns,149240
bind_logical_core_integral,,,,,89785858.0,ns,150880
bind_logical_core_integral,,,,,90262217.0,ns,152520
bind_logical_core_integral,,,,,91241166.0,ns,154160
bind_logical_core_integral,,,,,92164530.0,ns,155800
bind_logical_core_integral,,,,,93149049.0,ns,157440
bind_logical_core_integral,,,,,94669810.0,ns,159080
bind_logical_core_integral,,,,,94584178.0,ns,160720
bind_logical_core_integral,,,,,95521989.0,ns,162360
bind_logical_core_integral,,,,,96809310.0,ns,164000
