group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_logical_core_integral,,,,,1001561.0,ns,1683
bind_logical_core_integral,,,,,1997272.0,ns,3366
bind_logical_core_integral,,,,,2991359.0,ns,5049
bind_logical_core_integral,,,,,4112006.0,ns,6732
bind_logical_core_integral,,,,,4976780.0,ns,8415
bind_logical_core_integral,,,,,6097327.0,ns,10098
bind_logical_core_integral,,,,,7091835.0,ns,11781
bind_logical_core_integral,,,,,7999699.0,ns,13464
bind_logical_core_integral,,,,,9021700.0,ns,15147
bind_logical_core_integral,,,,,10024183.0,ns,16830
bind_logical_core_integral,,,,,11110725.0,ns,18513
bind_logical_core_integral,,,,,12194112.0,ns,20196
bind_logical_core_integral,,,,,12952744.0,ns,21879
bind_logical_core_integral,,,,,13920131.0,ns,23562
bind_logical_core_integral,,,,,15091865.0,ns,25245
bind_logical_core_integral,,,,,15989239.0,ns,26928
bind_logical_core_integral,,,,,16993907.0,ns,28611
bind_logical_core_integral,,,,,17880762.0,ns,30294
bind_logical_core_integral,,,,,18817952.0,ns,31977
bind_logical_core_integral,,,,,19863937.0,ns,33660
bind_logical_core_integral,,,,,20750782.0,ns,35343
bind_logical_core_integral,,,,,21787110.0,ns,37026
bind_logical_core_integral,,,,,22643337.0,ns,38709
bind_logical_core_integral,,,,,23622657.0,ns,40392
bind_logical_core_integral,,,,,24555167.0,ns,42075
bind_logical_core_integral,,,,,25604439.0,ns,43758
bind_logical_core_integral,,,,,26643261.0,ns,45441
bind_logical_core_integral,,,,,27592514.0,ns,47124
bind_logical_core_integral,,,,,28451928.0,ns,48807
bind_logical_core_integral,,,,,29575329.0,ns,50490
bind_logical_core_integral,,,,,30533428.0,ns,52173
bind_logical_core_integral,,,,,32290598.0,ns,53856
bind_logical_core_integral,,,,,32471148.0,ns,55539
bind_logical_core_integral,,,,,33320573.0,ns,57222
bind_logical_core_integral,,,,,34264416.0,ns,58905
bind_logical_core_integral,,,,,35212486.0,ns,60588
bind_logical_core_integral,,,,,36218075.0,ns,62271
bind_logical_core_integral,,,,,37209138.0,ns,63954
bind_logical_core_integral,,,,,38255003.0,ns,65637
bind_logical_core_integral,,,,,39574374.0,ns,67320
bind_logical_core_integral,,,,,40463354.0,ns,69003
bind_logical_core_integral,,,,,41400864.0,ns,70686
bind_logical_core_integral,,,,,42298680.0,ns,72369
bind_logical_core_integral,,,,,43254304.0,ns,74052
bind_logical_core_integral,,,,,44322231.0,ns,75735
bind_logical_core_integral,,,,,45455572.0,ns,77418
bind_logical_core_integral,,,,,46619672.0,ns,79101
bind_logical_core_integral,,,,,47277403.0,ns,80784
bind_logical_core_integral,,,,,48397118.0,ns,82467
bind_logical_core_integral,,,,,49389341.0,ns,84150
bind_logical_core_integral,,,,,50278430.0,ns,85833
bind_logical_core_integral,,,,,51546715.0,ns,87516
bind_logical_core_integral,,,,,51815292.0,ns,89199
bind_logical_core_integral,,,,,52860747.0,ns,90882
bind_logical_core_integral,,,,,53890162.0,ns,92565
bind_logical_core_integral,,,,,55052707.0,ns,94248
bind_logical_core_integral,,,,,55777105.0,ns,95931
bind_logical_core_integral,,,,,56604578.0,ns,97614
bind_logical_core_integral,,,,,57778946.0,ns,99297
bind_logical_core_integral,,,,,58797680.0,ns,100980
bind_logical_core_integral,,,,,59748767.0,ns,102663
bind_logical_core_integral,,,,,60665498.0,ns,104346
bind_logical_core_integral,,,,,61602428.0,ns,106029
bind_logical_core_integral,,,,,62873819.0,ns,107712
bind_logical_core_integral,,,,,63628063.0,ns,109395
bind_logical_core_integral,,,,,64996778.0,ns,111078
bind_logical_core_integral,,,,,66367506.0,ns,112761
bind_logical_core_integral,,,,,67271152.0,ns,114444
bind_logical_core_integral,,,,,68404372.0,ns,116127
bind_logical_core_integral,,,,,69300886.0,ns,117810
bind_logical_core_integral,,,,,70363323.0,ns,119493
bind_logical_core_integral,,,,,71292337.0,ns,121176
bind_logical_core_integral,,,,,72350546.0,ns,122859
bind_logical_core_integral,,,,,73323764.0,ns,124542
bind_logical_core_integral,,,,,74740299.0,ns,126225
bind_logical_core_integral,,,,,75534128.0,ns,127908
bind_logical_core_integral,,,,,76086863.0,ns,129591
bind_logical_core_integral,,,,,77158988.0,ns,131274
bind_logical_core_integral,,,,,77993724.0,ns,132957
bind_logical_core_integral,,,,,78881309.0,ns,134640
bind_logical_core_integral,,,,,80006984.0,ns,136323
bind_logical_core_integral,,,,,80443448.0,ns,138006
bind_logical_core_integral,,,,,81197573.0,ns,139689
bind_logical_core_integral,,,,,82468493.0,ns,141372
bind_logical_core_integral,,,,,83432804.0,ns,143055
bind_logical_core_integral,,,,,84525057.0,ns,144738
bind_logical_core_integral,,,,,85306844.0,ns,146421
bind_logical_core_integral,,,,,86446356.0,ns,148104
bind_logical_core_integral,,,,,87198777.0,ns,149787
bind_logical_core_integral,,,,,88442616.0,ns,151470
bind_logical_core_integral,,,,,89156244.0,ns,153153
bind_logical_core_integral,,,,,90424488.0,ns,154836
bind_logical_core_integral,,,,,91379441.0,ns,156519
bind_logical_core_integral,,,,,92328914.0,ns,158202
bind_logical_core_integral,,,,,92958663.0,ns,159885
bind_logical_core_integral,,,,,93909129.0,ns,161568
bind_logical_core_integral,,,,,95256954.0,ns,163251
bind_logical_core_integral,,,,,95905529.0,ns,164934
bind_logical_core_integral,,,,,97089996.0,ns,166617
bind_logical_core_integral,,,,,97953246.0,ns,168300
