group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_logical_rich_types,,,,,1001204.0,ns,1034
bind_logical_rich_types,,,,,2008010.0,ns,2068
bind_logical_rich_types,,,,,2987573.0,ns,3102
bind_logical_rich_types,,,,,4128692.0,ns,4136
bind_logical_rich_types,,,,,4980054.0,ns,5170
bind_logical_rich_types,,,,,6069125.0,ns,6204
bind_logical_rich_types,,,,,7103663.0,ns,7238
bind_logical_rich_types,,,,,8063339.0,ns,8272
bind_logical_rich_types,,,,,9052580.0,ns,9306
bind_logical_rich_types,,,,,10064996.0,ns,10340
bind_logical_rich_types,,,,,11115053.0,ns,11374
bind_logical_rich_types,,,,,12004155.0,ns,12408
bind_logical_rich_types,,,,,12923746.0,ns,13442
bind_logical_rich_types,,,,,13908198.0,ns,14476
bind_logical_rich_types,,,,,15041643.0,ns,15510
bind_logical_rich_types,,,,,15985620.0,ns,16544
bind_logical_rich_types,,,,,16921190.0,ns,17578
bind_logical_rich_types,,,,,18061167.0,ns,18612
bind_logical_rich_types,,,,,19048647.0,ns,19646
bind_logical_rich_types,,,,,20024322.0,ns,20680
bind_logical_rich_types,,,,,20901442.0,ns,21714
bind_logical_rich_types,,,,,21906283.0,ns,22748
bind_logical_rich_types,,,,,22852054.0,ns,23782
bind_logical_rich_types,,,,,23826627.0,ns,24816
bind_logical_rich_types,,,,,24873728.0,ns,25850
bind_logical_rich_types,,,,,25882588.0,ns,26884
bind_logical_rich_types,,,,,26885976.0,ns,27918
bind_logical_rich_types,,,,,27838258.0,ns,28952
bind_logical_rich_types,,,,,28830375.0,ns,29986
bind_logical_rich_types,,,,,29891434.0,ns,31020
bind_logical_rich_types,,,,,30921302.0,ns,32054
bind_logical_rich_types,,,,,31740011.0,ns,33088
bind_logical_rich_types,,,,,32755923.0,ns,34122
bind_logical_rich_types,,,,,33789299.0,ns,35156
bind_logical_rich_types,,,,,34837372.0,ns,36190
bind_logical_rich_types,,,,,35774806.0,ns,37224
bind_logical_rich_types,,,,,36730775.0,ns,38258
bind_logical_rich_types,,,,,37788988.0,ns,39292
bind_logical_rich_types,,,,,38746650.0,ns,40326
bind_logical_rich_types,,,,,39799613.0,ns,41360
bind_logical_rich_types,,,,,40857174.0,ns,42394
bind_logical_rich_types,,,,,41757958.0,ns,43428
bind_logical_rich_types,,,,,42792807.0,ns,44462
bind_logical_rich_types,,,,,43769374.0,ns,45496
bind_logical_rich_types,,,,,47323008.0,ns,46530
bind_logical_rich_types,,,,,49287136.0,ns,47564
bind_logical_rich_types,,,,,46956385.0,ns,48598
bind_logical_rich_types,,,,,47749446.0,ns,49632
bind_logical_rich_types,,,,,48773273.0,ns,50666
bind_logical_rich_types,,,,,49784326.0,ns,51700
bind_logical_rich_types,,,,,50708894.0,ns,52734
bind_logical_rich_types,,,,,51663841.0,ns,53768
bind_logical_rich_types,,,,,52708058.0,ns,54802
bind_logical_rich_types,,,,,54995045.0,ns,55836
bind_logical_rich_types,,,,,54722640.0,ns,56870
bind_logical_rich_types,,,,,55643161.0,ns,57904
bind_logical_rich_types,,,,,56670075.0,ns,58938
bind_logical_rich_types,,,,,57657163.0,ns,59972
bind_logical_rich_types,,,,,58508753.0,ns,61006
bind_logical_rich_types,,,,,59585621.0,ns,62040
bind_logical_rich_types,,,,,60771305.0,ns,63074
bind_logical_rich_types,,,,,61717476.0,ns,64108
bind_logical_rich_types,,,,,62643237.0,ns,65142
bind_logical_rich_types,,,,,63652327.0,ns,66176
bind_logical_rich_types,,,,,64586154.0,ns,67210
bind_logical_rich_types,,,,,65764594.0,ns,68244
bind_logical_rich_types,,,,,66839638.0,ns,69278
bind_logical_rich_types,,,,,67847362.0,ns,70312
bind_logical_rich_types,,,,,69101576.0,ns,71346
bind_logical_rich_types,,,,,70195576.0,ns,72380
bind_logical_rich_types,,,,,70794700.0,ns,73414
bind_logical_rich_types,,,,,71802907.0,ns,74448
bind_logical_rich_types,,,,,72904361.0,ns,75482
bind_logical_rich_types,,,,,73887272.0,ns,76516
bind_logical_rich_types,,,,,74903164.0,ns,77550
bind_logical_rich_types,,,,,75811854.0,ns,78584
bind_logical_rich_types,,,,,76900764.0,ns,79618
bind_logical_rich_types,,,,,77850190.0,ns,80652
bind_logical_rich_types,,,,,79577819.0,ns,81686
bind_logical_rich_types,,,,,79745286.0,ns,82720
bind_logical_rich_types,,,,,80855486.0,ns,83754
bind_logical_rich_types,,,,,81629139.0,ns,84788
bind_logical_rich_types,,,,,82695627.0,ns,85822
bind_logical_rich_types,,,,,83701409.0,ns,86856
bind_logical_rich_types,,,,,84612213.0,ns,87890
bind_logical_rich_types,,,,,85855345.0,ns,88924
bind_logical_rich_types,,,,,86639519.0,ns,89958
bind_logical_rich_types,,,,,88331381.0,ns,90992
bind_logical_rich_types,,,,,89262582.0,ns,92026
bind_logical_rich_types,,,,,90199836.0,ns,93060
bind_logical_rich_types,,,,,90559647.0,ns,94094
bind_logical_rich_types,,,,,91545231.0,ns,95128
bind_logical_rich_types,,,,,92487101.0,ns,96162
bind_logical_rich_types,,,,,93527760.0,ns,97196
bind_logical_rich_types,,,,,94701110.0,ns,98230
bind_logical_rich_types,,,,,95922592.0,ns,99264
bind_logical_rich_types,,,,,97187435.0,ns,100298
bind_logical_rich_types,,,,,98134517.0,ns,101332
bind_logical_rich_types,,,,,99295654.0,ns,102366
bind_logical_rich_types,,,,,99993585.0,ns,103400
