group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_waveform_host_metadata_path,,,,,1002738.0,ns,45
bind_waveform_host_metadata_path,,,,,2150519.0,ns,90
bind_waveform_host_metadata_path,,,,,2997000.0,ns,135
bind_waveform_host_metadata_path,,,,,4108352.0,ns,180
bind_waveform_host_metadata_path,,,,,4952139.0,ns,225
bind_waveform_host_metadata_path,,,,,5968312.0,ns,270
bind_waveform_host_metadata_path,,,,,6962222.0,ns,315
bind_waveform_host_metadata_path,,,,,7954250.0,ns,360
bind_waveform_host_metadata_path,,,,,8977405.0,ns,405
bind_waveform_host_metadata_path,,,,,10149393.0,ns,450
bind_waveform_host_metadata_path,,,,,10916754.0,ns,495
bind_waveform_host_metadata_path,,,,,11955580.0,ns,540
bind_waveform_host_metadata_path,,,,,13086700.0,ns,585
bind_waveform_host_metadata_path,,,,,13970261.0,ns,630
bind_waveform_host_metadata_path,,,,,14857740.0,ns,675
bind_waveform_host_metadata_path,,,,,16088840.0,ns,720
bind_waveform_host_metadata_path,,,,,16988983.0,ns,765
bind_waveform_host_metadata_path,,,,,18009133.0,ns,810
bind_waveform_host_metadata_path,,,,,18972596.0,ns,855
bind_waveform_host_metadata_path,,,,,20352206.0,ns,900
bind_waveform_host_metadata_path,,,,,21088158.0,ns,945
bind_waveform_host_metadata_path,,,,,21966530.0,ns,990
bind_waveform_host_metadata_path,,,,,22945533.0,ns,1035
bind_waveform_host_metadata_path,,,,,24179387.0,ns,1080
bind_waveform_host_metadata_path,,,,,25097443.0,ns,1125
bind_waveform_host_metadata_path,,,,,26049123.0,ns,1170
bind_waveform_host_metadata_path,,,,,26860559.0,ns,1215
bind_waveform_host_metadata_path,,,,,28177381.0,ns,1260
bind_waveform_host_metadata_path,,,,,29083885.0,ns,1305
bind_waveform_host_metadata_path,,,,,29702035.0,ns,1350
bind_waveform_host_metadata_path,,,,,31080773.0,ns,1395
bind_waveform_host_metadata_path,,,,,31973813.0,ns,1440
bind_waveform_host_metadata_path,,,,,33053185.0,ns,1485
bind_waveform_host_metadata_path,,,,,33858980.0,ns,1530
bind_waveform_host_metadata_path,,,,,35098815.0,ns,1575
bind_waveform_host_metadata_path,,,,,35901253.0,ns,1620
bind_waveform_host_metadata_path,,,,,36846472.0,ns,1665
bind_waveform_host_metadata_path,,,,,37928990.0,ns,1710
bind_waveform_host_metadata_path,,,,,38940393.0,ns,1755
bind_waveform_host_metadata_path,,,,,40142338.0,ns,1800
bind_waveform_host_metadata_path,,,,,41240004.0,ns,1845
bind_waveform_host_metadata_path,,,,,41985344.0,ns,1890
bind_waveform_host_metadata_path,,,,,42859989.0,ns,1935
bind_waveform_host_metadata_path,,,,,43874549.0,ns,1980
bind_waveform_host_metadata_path,,,,,45212991.0,ns,2025
bind_waveform_host_metadata_path,,,,,45898599.0,ns,2070
bind_waveform_host_metadata_path,,,,,46929047.0,ns,2115
bind_waveform_host_metadata_path,,,,,47965920.0,ns,2160
bind_waveform_host_metadata_path,,,,,48839713.0,ns,2205
bind_waveform_host_metadata_path,,,,,49791704.0,ns,2250
bind_waveform_host_metadata_path,,,,,51204776.0,ns,2295
bind_waveform_host_metadata_path,,,,,52176103.0,ns,2340
bind_waveform_host_metadata_path,,,,,53199039.0,ns,2385
bind_waveform_host_metadata_path,,,,,54281236.0,ns,2430
bind_waveform_host_metadata_path,,,,,54677536.0,ns,2475
bind_waveform_host_metadata_path,,,,,55550668.0,ns,2520
bind_waveform_host_metadata_path,,,,,56875875.0,ns,2565
bind_waveform_host_metadata_path,,,,,58030670.0,ns,2610
bind_waveform_host_metadata_path,,,,,58832386.0,ns,2655
bind_waveform_host_metadata_path,,,,,59909685.0,ns,2700
bind_waveform_host_metadata_path,,,,,61180048.0,ns,2745
bind_waveform_host_metadata_path,,,,,61907324.0,ns,2790
bind_waveform_host_metadata_path,,,,,62929959.0,ns,2835
bind_waveform_host_metadata_path,,,,,64131993.0,ns,2880
bind_waveform_host_metadata_path,,,,,64990638.0,ns,2925
bind_waveform_host_metadata_path,,,,,66059730.0,ns,2970
bind_waveform_host_metadata_path,,,,,67287864.0,ns,3015
bind_waveform_host_metadata_path,,,,,68822746.0,ns,3060
bind_waveform_host_metadata_path,,,,,74695987.0,ns,3105
bind_waveform_host_metadata_path,,,,,70311832.0,ns,3150
bind_waveform_host_metadata_path,,,,,71449105.0,ns,3195
bind_waveform_host_metadata_path,,,,,72566398.0,ns,3240
bind_waveform_host_metadata_path,,,,,73612677.0,ns,3285
bind_waveform_host_metadata_path,,,,,74563646.0,ns,3330
bind_waveform_host_metadata_path,,,,,76416342.0,ns,3375
bind_waveform_host_metadata_path,,,,,77054209.0,ns,3420
bind_waveform_host_metadata_path,,,,,77469784.0,ns,3465
bind_waveform_host_metadata_path,,,,,78222289.0,ns,3510
bind_waveform_host_metadata_path,,,,,79574977.0,ns,3555
bind_waveform_host_metadata_path,,,,,80312492.0,ns,3600
bind_waveform_host_metadata_path,,,,,81303306.0,ns,3645
bind_waveform_host_metadata_path,,,,,82336099.0,ns,3690
bind_waveform_host_metadata_path,,,,,83194964.0,ns,3735
bind_waveform_host_metadata_path,,,,,84058798.0,ns,3780
bind_waveform_host_metadata_path,,,,,86226809.0,ns,3825
bind_waveform_host_metadata_path,,,,,86748437.0,ns,3870
bind_waveform_host_metadata_path,,,,,87904012.0,ns,3915
bind_waveform_host_metadata_path,,,,,88643211.0,ns,3960
bind_waveform_host_metadata_path,,,,,89878839.0,ns,4005
bind_waveform_host_metadata_path,,,,,90758022.0,ns,4050
bind_waveform_host_metadata_path,,,,,91825752.0,ns,4095
bind_waveform_host_metadata_path,,,,,93607393.0,ns,4140
bind_waveform_host_metadata_path,,,,,94318285.0,ns,4185
bind_waveform_host_metadata_path,,,,,95792473.0,ns,4230
bind_waveform_host_metadata_path,,,,,95273051.0,ns,4275
bind_waveform_host_metadata_path,,,,,96943612.0,ns,4320
bind_waveform_host_metadata_path,,,,,98741944.0,ns,4365
bind_waveform_host_metadata_path,,,,,99246638.0,ns,4410
bind_waveform_host_metadata_path,,,,,100351038.0,ns,4455
bind_waveform_host_metadata_path,,,,,101815158.0,ns,4500
