group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_waveform_host_metadata_path,,,,,988656.0,ns,45
bind_waveform_host_metadata_path,,,,,1978153.0,ns,90
bind_waveform_host_metadata_path,,,,,3103451.0,ns,135
bind_waveform_host_metadata_path,,,,,3970984.0,ns,180
bind_waveform_host_metadata_path,,,,,5087565.0,ns,225
bind_waveform_host_metadata_path,,,,,6067154.0,ns,270
bind_waveform_host_metadata_path,,,,,7008459.0,ns,315
bind_waveform_host_metadata_path,,,,,7995792.0,ns,360
bind_waveform_host_metadata_path,,,,,9012883.0,ns,405
bind_waveform_host_metadata_path,,,,,10132439.0,ns,450
bind_waveform_host_metadata_path,,,,,11014490.0,ns,495
bind_waveform_host_metadata_path,,,,,12007034.0,ns,540
bind_waveform_host_metadata_path,,,,,12963267.0,ns,585
bind_waveform_host_metadata_path,,,,,13951793.0,ns,630
bind_waveform_host_metadata_path,,,,,14928746.0,ns,675
bind_waveform_host_metadata_path,,,,,16053514.0,ns,720
bind_waveform_host_metadata_path,,,,,16926056.0,ns,765
bind_waveform_host_metadata_path,,,,,17950631.0,ns,810
bind_waveform_host_metadata_path,,,,,18980345.0,ns,855
bind_waveform_host_metadata_path,,,,,20117566.0,ns,900
bind_waveform_host_metadata_path,,,,,20955653.0,ns,945
bind_waveform_host_metadata_path,,,,,21946393.0,ns,990
bind_waveform_host_metadata_path,,,,,22740616.0,ns,1035
bind_waveform_host_metadata_path,,,,,24075415.0,ns,1080
bind_waveform_host_metadata_path,,,,,24937508.0,ns,1125
bind_waveform_host_metadata_path,,,,,25847623.0,ns,1170
bind_waveform_host_metadata_path,,,,,26872018.0,ns,1215
bind_waveform_host_metadata_path,,,,,28088310.0,ns,1260
bind_waveform_host_metadata_path,,,,,30753401.0,ns,1305
bind_waveform_host_metadata_path,,,,,30959085.0,ns,1350
bind_waveform_host_metadata_path,,,,,32550143.0,ns,1395
bind_waveform_host_metadata_path,,,,,33109706.0,ns,1440
bind_waveform_host_metadata_path,,,,,34467770.0,ns,1485
bind_waveform_host_metadata_path,,,,,33936661.0,ns,1530
bind_waveform_host_metadata_path,,,,,34852517.0,ns,1575
bind_waveform_host_metadata_path,,,,,35904555.0,ns,1620
bind_waveform_host_metadata_path,,,,,37460638.0,ns,1665
bind_waveform_host_metadata_path,,,,,37935760.0,ns,1710
bind_waveform_host_metadata_path,,,,,39025699.0,ns,1755
bind_waveform_host_metadata_path,,,,,40207957.0,ns,1800
bind_waveform_host_metadata_path,,,,,41041324.0,ns,1845
bind_waveform_host_metadata_path,,,,,42159077.0,ns,1890
bind_waveform_host_metadata_path,,,,,42968309.0,ns,1935
bind_waveform_host_metadata_path,,,,,43910476.0,ns,1980
bind_waveform_host_metadata_path,,,,,45187594.0,ns,2025
bind_waveform_host_metadata_path,,,,,46165230.0,ns,2070
bind_waveform_host_metadata_path,,,,,47178321.0,ns,2115
bind_waveform_host_metadata_path,,,,,49819325.0,ns,2160
bind_waveform_host_metadata_path,,,,,49109695.0,ns,2205
bind_waveform_host_metadata_path,,,,,50217630.0,ns,2250
bind_waveform_host_metadata_path,,,,,54746854.0,ns,2295
bind_waveform_host_metadata_path,,,,,52601089.0,ns,2340
bind_waveform_host_metadata_path,,,,,53822722.0,ns,2385
bind_waveform_host_metadata_path,,,,,54584210.0,ns,2430
bind_waveform_host_metadata_path,,,,,55247459.0,ns,2475
bind_waveform_host_metadata_path,,,,,56170769.0,ns,2520
bind_waveform_host_metadata_path,,,,,56568131.0,ns,2565
bind_waveform_host_metadata_path,,,,,58027870.0,ns,2610
bind_waveform_host_metadata_path,,,,,59042025.0,ns,2655
bind_waveform_host_metadata_path,,,,,60199093.0,ns,2700
bind_waveform_host_metadata_path,,,,,60704172.0,ns,2745
bind_waveform_host_metadata_path,,,,,61865157.0,ns,2790
bind_waveform_host_metadata_path,,,,,63450056.0,ns,2835
bind_waveform_host_metadata_path,,,,,63638959.0,ns,2880
bind_waveform_host_metadata_path,,,,,64629808.0,ns,2925
bind_waveform_host_metadata_path,,,,,65867300.0,ns,2970
bind_waveform_host_metadata_path,,,,,67267065.0,ns,3015
bind_waveform_host_metadata_path,,,,,70139041.0,ns,3060
bind_waveform_host_metadata_path,,,,,69767358.0,ns,3105
bind_waveform_host_metadata_path,,,,,70600614.0,ns,3150
bind_waveform_host_metadata_path,,,,,71849434.0,ns,3195
bind_waveform_host_metadata_path,,,,,72947830.0,ns,3240
bind_waveform_host_metadata_path,,,,,73353127.0,ns,3285
bind_waveform_host_metadata_path,,,,,73871971.0,ns,3330
bind_waveform_host_metadata_path,,,,,74914701.0,ns,3375
bind_waveform_host_metadata_path,,,,,76056319.0,ns,3420
bind_waveform_host_metadata_path,,,,,76885930.0,ns,3465
bind_waveform_host_metadata_path,,,,,78355558.0,ns,3510
bind_waveform_host_metadata_path,,,,,79545680.0,ns,3555
bind_waveform_host_metadata_path,,,,,80131242.0,ns,3600
bind_waveform_host_metadata_path,,,,,81126040.0,ns,3645
bind_waveform_host_metadata_path,,,,,83094143.0,ns,3690
bind_waveform_host_metadata_path,,,,,83866311.0,ns,3735
bind_waveform_host_metadata_path,,,,,84606325.0,ns,3780
bind_waveform_host_metadata_path,,,,,86251038.0,ns,3825
bind_waveform_host_metadata_path,,,,,89202828.0,ns,3870
bind_waveform_host_metadata_path,,,,,91056992.0,ns,3915
bind_waveform_host_metadata_path,,,,,93315893.0,ns,3960
bind_waveform_host_metadata_path,,,,,92208149.0,ns,4005
bind_waveform_host_metadata_path,,,,,91543525.0,ns,4050
bind_waveform_host_metadata_path,,,,,93154704.0,ns,4095
bind_waveform_host_metadata_path,,,,,93012491.0,ns,4140
bind_waveform_host_metadata_path,,,,,95139960.0,ns,4185
bind_waveform_host_metadata_path,,,,,95567977.0,ns,4230
bind_waveform_host_metadata_path,,,,,97161186.0,ns,4275
bind_waveform_host_metadata_path,,,,,98041263.0,ns,4320
bind_waveform_host_metadata_path,,,,,98597169.0,ns,4365
bind_waveform_host_metadata_path,,,,,102725082.0,ns,4410
bind_waveform_host_metadata_path,,,,,102307482.0,ns,4455
bind_waveform_host_metadata_path,,,,,101171985.0,ns,4500
