group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_waveform_host_metadata_path,,,,,989531.0,ns,44
bind_waveform_host_metadata_path,,,,,1948753.0,ns,88
bind_waveform_host_metadata_path,,,,,3127571.0,ns,132
bind_waveform_host_metadata_path,,,,,3898819.0,ns,176
bind_waveform_host_metadata_path,,,,,5570249.0,ns,220
bind_waveform_host_metadata_path,,,,,6049184.0,ns,264
bind_waveform_host_metadata_path,,,,,7731153.0,ns,308
bind_waveform_host_metadata_path,,,,,7718219.0,ns,352
bind_waveform_host_metadata_path,,,,,8940839.0,ns,396
bind_waveform_host_metadata_path,,,,,9832695.0,ns,440
bind_waveform_host_metadata_path,,,,,10715724.0,ns,484
bind_waveform_host_metadata_path,,,,,12560991.0,ns,528
bind_waveform_host_metadata_path,,,,,13842213.0,ns,572
bind_waveform_host_metadata_path,,,,,15880135.0,ns,616
bind_waveform_host_metadata_path,,,,,15108677.0,ns,660
bind_waveform_host_metadata_path,,,,,15633649.0,ns,704
bind_waveform_host_metadata_path,,,,,16677993.0,ns,748
bind_waveform_host_metadata_path,,,,,17853204.0,ns,792
bind_waveform_host_metadata_path,,,,,19088940.0,ns,836
bind_waveform_host_metadata_path,,,,,20122354.0,ns,880
bind_waveform_host_metadata_path,,,,,20617048.0,ns,924
bind_waveform_host_metadata_path,,,,,22037212.0,ns,968
bind_waveform_host_metadata_path,,,,,23218465.0,ns,1012
bind_waveform_host_metadata_path,,,,,24095993.0,ns,1056
bind_waveform_host_metadata_path,,,,,25350364.0,ns,1100
bind_waveform_host_metadata_path,,,,,26149093.0,ns,1144
bind_waveform_host_metadata_path,,,,,27033014.0,ns,1188
bind_waveform_host_metadata_path,,,,,27899442.0,ns,1232
bind_waveform_host_metadata_path,,,,,29109489.0,ns,1276
bind_waveform_host_metadata_path,,,,,30074814.0,ns,1320
bind_waveform_host_metadata_path,,,,,31053995.0,ns,1364
bind_waveform_host_metadata_path,,,,,31940861.0,ns,1408
bind_waveform_host_metadata_path,,,,,32935802.0,ns,1452
bind_waveform_host_metadata_path,,,,,34040699.0,ns,1496
bind_waveform_host_metadata_path,,,,,34997197.0,ns,1540
bind_waveform_host_metadata_path,,,,,36943366.0,ns,1584
bind_waveform_host_metadata_path,,,,,36880728.0,ns,1628
bind_waveform_host_metadata_path,,,,,39075325.0,ns,1672
bind_waveform_host_metadata_path,,,,,39793864.0,ns,1716
bind_waveform_host_metadata_path,,,,,39492534.0,ns,1760
bind_waveform_host_metadata_path,,,,,40957022.0,ns,1804
bind_waveform_host_metadata_path,,,,,41931835.0,ns,1848
bind_waveform_host_metadata_path,,,,,42987970.0,ns,1892
bind_waveform_host_metadata_path,,,,,43753988.0,ns,1936
bind_waveform_host_metadata_path,,,,,44795327.0,ns,1980
bind_waveform_host_metadata_path,,,,,46159115.0,ns,2024
bind_waveform_host_metadata_path,,,,,46638561.0,ns,2068
bind_waveform_host_metadata_path,,,,,47184372.0,ns,2112
bind_waveform_host_metadata_path,,,,,48116514.0,ns,2156
bind_waveform_host_metadata_path,,,,,50868744.0,ns,2200
bind_waveform_host_metadata_path,,,,,51770679.0,ns,2244
bind_waveform_host_metadata_path,,,,,51415739.0,ns,2288
bind_waveform_host_metadata_path,,,,,52469701.0,ns,2332
bind_waveform_host_metadata_path,,,,,53198708.0,ns,2376
bind_waveform_host_metadata_path,,,,,54411170.0,ns,2420
bind_waveform_host_metadata_path,,,,,55504476.0,ns,2464
bind_waveform_host_metadata_path,,,,,56491843.0,ns,2508
bind_waveform_host_metadata_path,,,,,57203137.0,ns,2552
bind_waveform_host_metadata_path,,,,,58227112.0,ns,2596
bind_waveform_host_metadata_path,,,,,59587363.0,ns,2640
bind_waveform_host_metadata_path,,,,,60394278.0,ns,2684
bind_waveform_host_metadata_path,,,,,60852013.0,ns,2728
bind_waveform_host_metadata_path,,,,,63248302.0,ns,2772
bind_waveform_host_metadata_path,,,,,65393708.0,ns,2816
bind_waveform_host_metadata_path,,,,,64694125.0,ns,2860
bind_waveform_host_metadata_path,,,,,65611639.0,ns,2904
bind_waveform_host_metadata_path,,,,,66278598.0,ns,2948
bind_waveform_host_metadata_path,,,,,67753586.0,ns,2992
bind_waveform_host_metadata_path,,,,,68495879.0,ns,3036
bind_waveform_host_metadata_path,,,,,69333983.0,ns,3080
bind_waveform_host_metadata_path,,,,,70080534.0,ns,3124
bind_waveform_host_metadata_path,,,,,71253040.0,ns,3168
bind_waveform_host_metadata_path,,,,,73270363.0,ns,3212
bind_waveform_host_metadata_path,,,,,77261927.0,ns,3256
bind_waveform_host_metadata_path,,,,,73548659.0,ns,3300
bind_waveform_host_metadata_path,,,,,74626446.0,ns,3344
bind_waveform_host_metadata_path,,,,,75724682.0,ns,3388
bind_waveform_host_metadata_path,,,,,76439412.0,ns,3432
bind_waveform_host_metadata_path,,,,,77568336.0,ns,3476
bind_waveform_host_metadata_path,,,,,78558137.0,ns,3520
bind_waveform_host_metadata_path,,,,,79894991.0,ns,3564
bind_waveform_host_metadata_path,,,,,80878330.0,ns,3608
bind_waveform_host_metadata_path,,,,,81992175.0,ns,3652
bind_waveform_host_metadata_path,,,,,82683181.0,ns,3696
bind_waveform_host_metadata_path,,,,,83290549.0,ns,3740
bind_waveform_host_metadata_path,,,,,84344692.0,ns,3784
bind_waveform_host_metadata_path,,,,,85544669.0,ns,3828
bind_waveform_host_metadata_path,,,,,86659255.0,ns,3872
bind_waveform_host_metadata_path,,,,,87479867.0,ns,3916
bind_waveform_host_metadata_path,,,,,89288145.0,ns,3960
bind_waveform_host_metadata_path,,,,,90244652.0,ns,4004
bind_waveform_host_metadata_path,,,,,92234532.0,ns,4048
bind_waveform_host_metadata_path,,,,,93286839.0,ns,4092
bind_waveform_host_metadata_path,,,,,93145993.0,ns,4136
bind_waveform_host_metadata_path,,,,,95704308.0,ns,4180
bind_waveform_host_metadata_path,,,,,95353095.0,ns,4224
bind_waveform_host_metadata_path,,,,,96039542.0,ns,4268
bind_waveform_host_metadata_path,,,,,98099535.0,ns,4312
bind_waveform_host_metadata_path,,,,,99164117.0,ns,4356
bind_waveform_host_metadata_path,,,,,100851787.0,ns,4400
