group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_event_union_iff,,,,,1003944.0,ns,1407
bind_event_union_iff,,,,,2000624.0,ns,2814
bind_event_union_iff,,,,,3013194.0,ns,4221
bind_event_union_iff,,,,,4016216.0,ns,5628
bind_event_union_iff,,,,,5057831.0,ns,7035
bind_event_union_iff,,,,,6102090.0,ns,8442
bind_event_union_iff,,,,,7103509.0,ns,9849
bind_event_union_iff,,,,,8095040.0,ns,11256
bind_event_union_iff,,,,,9054109.0,ns,12663
bind_event_union_iff,,,,,10011866.0,ns,14070
bind_event_union_iff,,,,,11174398.0,ns,15477
bind_event_union_iff,,,,,11983396.0,ns,16884
bind_event_union_iff,,,,,12979655.0,ns,18291
bind_event_union_iff,,,,,15674451.0,ns,19698
bind_event_union_iff,,,,,15015515.0,ns,21105
bind_event_union_iff,,,,,16014229.0,ns,22512
bind_event_union_iff,,,,,17159157.0,ns,23919
bind_event_union_iff,,,,,17998893.0,ns,25326
bind_event_union_iff,,,,,19038795.0,ns,26733
bind_event_union_iff,,,,,20071492.0,ns,28140
bind_event_union_iff,,,,,20968055.0,ns,29547
bind_event_union_iff,,,,,21965146.0,ns,30954
bind_event_union_iff,,,,,23265686.0,ns,32361
bind_event_union_iff,,,,,23971500.0,ns,33768
bind_event_union_iff,,,,,25064832.0,ns,35175
bind_event_union_iff,,,,,27114568.0,ns,36582
bind_event_union_iff,,,,,30293783.0,ns,37989
bind_event_union_iff,,,,,28780073.0,ns,39396
bind_event_union_iff,,,,,28755857.0,ns,40803
bind_event_union_iff,,,,,30136799.0,ns,42210
bind_event_union_iff,,,,,31146573.0,ns,43617
bind_event_union_iff,,,,,31895879.0,ns,45024
bind_event_union_iff,,,,,32964074.0,ns,46431
bind_event_union_iff,,,,,34917830.0,ns,47838
bind_event_union_iff,,,,,35344109.0,ns,49245
bind_event_union_iff,,,,,36703771.0,ns,50652
bind_event_union_iff,,,,,41175781.0,ns,52059
bind_event_union_iff,,,,,40824133.0,ns,53466
bind_event_union_iff,,,,,41809361.0,ns,54873
bind_event_union_iff,,,,,41813439.0,ns,56280
bind_event_union_iff,,,,,49203344.0,ns,57687
bind_event_union_iff,,,,,42022370.0,ns,59094
bind_event_union_iff,,,,,43205360.0,ns,60501
bind_event_union_iff,,,,,44159070.0,ns,61908
bind_event_union_iff,,,,,44973738.0,ns,63315
bind_event_union_iff,,,,,46368165.0,ns,64722
bind_event_union_iff,,,,,47316745.0,ns,66129
bind_event_union_iff,,,,,48274021.0,ns,67536
bind_event_union_iff,,,,,49055368.0,ns,68943
bind_event_union_iff,,,,,50259537.0,ns,70350
bind_event_union_iff,,,,,51021486.0,ns,71757
bind_event_union_iff,,,,,52194657.0,ns,73164
bind_event_union_iff,,,,,53311213.0,ns,74571
bind_event_union_iff,,,,,54283548.0,ns,75978
bind_event_union_iff,,,,,55768463.0,ns,77385
bind_event_union_iff,,,,,57715637.0,ns,78792
bind_event_union_iff,,,,,57839560.0,ns,80199
bind_event_union_iff,,,,,58237286.0,ns,81606
bind_event_union_iff,,,,,59174564.0,ns,83013
bind_event_union_iff,,,,,60465507.0,ns,84420
bind_event_union_iff,,,,,61623089.0,ns,85827
bind_event_union_iff,,,,,62439962.0,ns,87234
bind_event_union_iff,,,,,63477198.0,ns,88641
bind_event_union_iff,,,,,64433603.0,ns,90048
bind_event_union_iff,,,,,65446143.0,ns,91455
bind_event_union_iff,,,,,66216618.0,ns,92862
bind_event_union_iff,,,,,67053548.0,ns,94269
bind_event_union_iff,,,,,67953538.0,ns,95676
bind_event_union_iff,,,,,69170000.0,ns,97083
bind_event_union_iff,,,,,73482552.0,ns,98490
bind_event_union_iff,,,,,70984405.0,ns,99897
bind_event_union_iff,,,,,72060002.0,ns,101304
bind_event_union_iff,,,,,72932109.0,ns,102711
bind_event_union_iff,,,,,74483289.0,ns,104118
bind_event_union_iff,,,,,75583043.0,ns,105525
bind_event_union_iff,,,,,76469567.0,ns,106932
bind_event_union_iff,,,,,77336944.0,ns,108339
bind_event_union_iff,,,,,78563295.0,ns,109746
bind_event_union_iff,,,,,79485295.0,ns,111153
bind_event_union_iff,,,,,80742384.0,ns,112560
bind_event_union_iff,,,,,82008610.0,ns,113967
bind_event_union_iff,,,,,82829590.0,ns,115374
bind_event_union_iff,,,,,83285235.0,ns,116781
bind_event_union_iff,,,,,83748344.0,ns,118188
bind_event_union_iff,,,,,84778618.0,ns,119595
bind_event_union_iff,,,,,86026649.0,ns,121002
bind_event_union_iff,,,,,87272286.0,ns,122409
bind_event_union_iff,,,,,88576523.0,ns,123816
bind_event_union_iff,,,,,89520355.0,ns,125223
bind_event_union_iff,,,,,90511334.0,ns,126630
bind_event_union_iff,,,,,92263261.0,ns,128037
bind_event_union_iff,,,,,92626403.0,ns,129444
bind_event_union_iff,,,,,93734522.0,ns,130851
bind_event_union_iff,,,,,94973977.0,ns,132258
bind_event_union_iff,,,,,98290911.0,ns,133665
bind_event_union_iff,,,,,96260591.0,ns,135072
bind_event_union_iff,,,,,97773480.0,ns,136479
bind_event_union_iff,,,,,102649179.0,ns,137886
bind_event_union_iff,,,,,101258610.0,ns,139293
bind_event_union_iff,,,,,102646424.0,ns,140700
