group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_logical_core_integral,,,,,1005830.0,ns,1717
bind_logical_core_integral,,,,,1983578.0,ns,3434
bind_logical_core_integral,,,,,2967678.0,ns,5151
bind_logical_core_integral,,,,,3914638.0,ns,6868
bind_logical_core_integral,,,,,4909998.0,ns,8585
bind_logical_core_integral,,,,,5901311.0,ns,10302
bind_logical_core_integral,,,,,6932719.0,ns,12019
bind_logical_core_integral,,,,,7875673.0,ns,13736
bind_logical_core_integral,,,,,8826259.0,ns,15453
bind_logical_core_integral,,,,,9816030.0,ns,17170
bind_logical_core_integral,,,,,10785201.0,ns,18887
bind_logical_core_integral,,,,,11784409.0,ns,20604
bind_logical_core_integral,,,,,12835503.0,ns,22321
bind_logical_core_integral,,,,,13772055.0,ns,24038
bind_logical_core_integral,,,,,14773337.0,ns,25755
bind_logical_core_integral,,,,,15737379.0,ns,27472
bind_logical_core_integral,,,,,16685021.0,ns,29189
bind_logical_core_integral,,,,,17812207.0,ns,30906
bind_logical_core_integral,,,,,18864253.0,ns,32623
bind_logical_core_integral,,,,,19823816.0,ns,34340
bind_logical_core_integral,,,,,20773652.0,ns,36057
bind_logical_core_integral,,,,,21774563.0,ns,37774
bind_logical_core_integral,,,,,22781525.0,ns,39491
bind_logical_core_integral,,,,,23760615.0,ns,41208
bind_logical_core_integral,,,,,24730078.0,ns,42925
bind_logical_core_integral,,,,,25831916.0,ns,44642
bind_logical_core_integral,,,,,26726860.0,ns,46359
bind_logical_core_integral,,,,,27639638.0,ns,48076
bind_logical_core_integral,,,,,28644886.0,ns,49793
bind_logical_core_integral,,,,,29626051.0,ns,51510
bind_logical_core_integral,,,,,30712941.0,ns,53227
bind_logical_core_integral,,,,,31621451.0,ns,54944
bind_logical_core_integral,,,,,32699595.0,ns,56661
bind_logical_core_integral,,,,,33522936.0,ns,58378
bind_logical_core_integral,,,,,34453926.0,ns,60095
bind_logical_core_integral,,,,,36847828.0,ns,61812
bind_logical_core_integral,,,,,36325997.0,ns,63529
bind_logical_core_integral,,,,,37333631.0,ns,65246
bind_logical_core_integral,,,,,38497715.0,ns,66963
bind_logical_core_integral,,,,,39420310.0,ns,68680
bind_logical_core_integral,,,,,40558897.0,ns,70397
bind_logical_core_integral,,,,,41742948.0,ns,72114
bind_logical_core_integral,,,,,44045118.0,ns,73831
bind_logical_core_integral,,,,,43446215.0,ns,75548
bind_logical_core_integral,,,,,44361827.0,ns,77265
bind_logical_core_integral,,,,,45464137.0,ns,78982
bind_logical_core_integral,,,,,49270384.0,ns,80699
bind_logical_core_integral,,,,,47607883.0,ns,82416
bind_logical_core_integral,,,,,48493449.0,ns,84133
bind_logical_core_integral,,,,,49422576.0,ns,85850
bind_logical_core_integral,,,,,50544883.0,ns,87567
bind_logical_core_integral,,,,,51302481.0,ns,89284
bind_logical_core_integral,,,,,52503384.0,ns,91001
bind_logical_core_integral,,,,,53666777.0,ns,92718
bind_logical_core_integral,,,,,54359265.0,ns,94435
bind_logical_core_integral,,,,,55238790.0,ns,96152
bind_logical_core_integral,,,,,56395170.0,ns,97869
bind_logical_core_integral,,,,,57587697.0,ns,99586
bind_logical_core_integral,,,,,58742484.0,ns,101303
bind_logical_core_integral,,,,,59740179.0,ns,103020
bind_logical_core_integral,,,,,60738946.0,ns,104737
bind_logical_core_integral,,,,,61797194.0,ns,106454
bind_logical_core_integral,,,,,62702577.0,ns,108171
bind_logical_core_integral,,,,,63807110.0,ns,109888
bind_logical_core_integral,,,,,65170185.0,ns,111605
bind_logical_core_integral,,,,,64729756.0,ns,113322
bind_logical_core_integral,,,,,65786580.0,ns,115039
bind_logical_core_integral,,,,,66937891.0,ns,116756
bind_logical_core_integral,,,,,67835630.0,ns,118473
bind_logical_core_integral,,,,,68760059.0,ns,120190
bind_logical_core_integral,,,,,69930935.0,ns,121907
bind_logical_core_integral,,,,,70914234.0,ns,123624
bind_logical_core_integral,,,,,71700546.0,ns,125341
bind_logical_core_integral,,,,,72906818.0,ns,127058
bind_logical_core_integral,,,,,73803496.0,ns,128775
bind_logical_core_integral,,,,,76414952.0,ns,130492
bind_logical_core_integral,,,,,75865900.0,ns,132209
bind_logical_core_integral,,,,,76834902.0,ns,133926
bind_logical_core_integral,,,,,77698357.0,ns,135643
bind_logical_core_integral,,,,,78874354.0,ns,137360
bind_logical_core_integral,,,,,79840931.0,ns,139077
bind_logical_core_integral,,,,,81256242.0,ns,140794
bind_logical_core_integral,,,,,82110460.0,ns,142511
bind_logical_core_integral,,,,,83103666.0,ns,144228
bind_logical_core_integral,,,,,84309870.0,ns,145945
bind_logical_core_integral,,,,,85319306.0,ns,147662
bind_logical_core_integral,,,,,86135514.0,ns,149379
bind_logical_core_integral,,,,,87308906.0,ns,151096
bind_logical_core_integral,,,,,92091928.0,ns,152813
bind_logical_core_integral,,,,,89741328.0,ns,154530
bind_logical_core_integral,,,,,90757558.0,ns,156247
bind_logical_core_integral,,,,,91525785.0,ns,157964
bind_logical_core_integral,,,,,92394410.0,ns,159681
bind_logical_core_integral,,,,,93050620.0,ns,161398
bind_logical_core_integral,,,,,93900200.0,ns,163115
bind_logical_core_integral,,,,,94790174.0,ns,164832
bind_logical_core_integral,,,,,95953317.0,ns,166549
bind_logical_core_integral,,,,,97100350.0,ns,168266
bind_logical_core_integral,,,,,98133771.0,ns,169983
bind_logical_core_integral,,,,,98714451.0,ns,171700
