group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse_event_malformed,,,,,959659.0,ns,6377
parse_event_malformed,,,,,1917295.0,ns,12754
parse_event_malformed,,,,,2863359.0,ns,19131
parse_event_malformed,,,,,3838266.0,ns,25508
parse_event_malformed,,,,,4815168.0,ns,31885
parse_event_malformed,,,,,5906133.0,ns,38262
parse_event_malformed,,,,,6979925.0,ns,44639
parse_event_malformed,,,,,7885432.0,ns,51016
parse_event_malformed,,,,,8790570.0,ns,57393
parse_event_malformed,,,,,9662817.0,ns,63770
parse_event_malformed,,,,,10796511.0,ns,70147
parse_event_malformed,,,,,11634022.0,ns,76524
parse_event_malformed,,,,,12420689.0,ns,82901
parse_event_malformed,,,,,13338831.0,ns,89278
parse_event_malformed,,,,,14519592.0,ns,95655
parse_event_malformed,,,,,15440951.0,ns,102032
parse_event_malformed,,,,,16351638.0,ns,108409
parse_event_malformed,,,,,17258790.0,ns,114786
parse_event_malformed,,,,,18250789.0,ns,121163
parse_event_malformed,,,,,19287522.0,ns,127540
parse_event_malformed,,,,,20245639.0,ns,133917
parse_event_malformed,,,,,21219955.0,ns,140294
parse_event_malformed,,,,,22220600.0,ns,146671
parse_event_malformed,,,,,23095573.0,ns,153048
parse_event_malformed,,,,,23989219.0,ns,159425
parse_event_malformed,,,,,24889327.0,ns,165802
parse_event_malformed,,,,,25920349.0,ns,172179
parse_event_malformed,,,,,26735710.0,ns,178556
parse_event_malformed,,,,,27720636.0,ns,184933
parse_event_malformed,,,,,28829884.0,ns,191310
parse_event_malformed,,,,,29885944.0,ns,197687
parse_event_malformed,,,,,30650579.0,ns,204064
parse_event_malformed,,,,,31651355.0,ns,210441
parse_event_malformed,,,,,32506880.0,ns,216818
parse_event_malformed,,,,,33507065.0,ns,223195
parse_event_malformed,,,,,34562232.0,ns,229572
parse_event_malformed,,,,,35643459.0,ns,235949
parse_event_malformed,,,,,36741516.0,ns,242326
parse_event_malformed,,,,,37537961.0,ns,248703
parse_event_malformed,,,,,38579333.0,ns,255080
parse_event_malformed,,,,,39367603.0,ns,261457
parse_event_malformed,,,,,40329606.0,ns,267834
parse_event_malformed,,,,,41562465.0,ns,274211
parse_event_malformed,,,,,42790284.0,ns,280588
parse_event_malformed,,,,,43449544.0,ns,286965
parse_event_malformed,,,,,44340234.0,ns,293342
parse_event_malformed,,,,,45456386.0,ns,299719
parse_event_malformed,,,,,46933640.0,ns,306096
parse_event_malformed,,,,,47423844.0,ns,312473
parse_event_malformed,,,,,48874228.0,ns,318850
parse_event_malformed,,,,,48729749.0,ns,325227
parse_event_malformed,,,,,49635127.0,ns,331604
parse_event_malformed,,,,,53776609.0,ns,337981
parse_event_malformed,,,,,51296935.0,ns,344358
parse_event_malformed,,,,,52338197.0,ns,350735
parse_event_malformed,,,,,52963603.0,ns,357112
parse_event_malformed,,,,,54428194.0,ns,363489
parse_event_malformed,,,,,55303256.0,ns,369866
parse_event_malformed,,,,,56032095.0,ns,376243
parse_event_malformed,,,,,56935831.0,ns,382620
parse_event_malformed,,,,,58157168.0,ns,388997
parse_event_malformed,,,,,59068968.0,ns,395374
parse_event_malformed,,,,,60168849.0,ns,401751
parse_event_malformed,,,,,60997514.0,ns,408128
parse_event_malformed,,,,,62021944.0,ns,414505
parse_event_malformed,,,,,63172379.0,ns,420882
parse_event_malformed,,,,,64024067.0,ns,427259
parse_event_malformed,,,,,64785336.0,ns,433636
parse_event_malformed,,,,,65745045.0,ns,440013
parse_event_malformed,,,,,67114108.0,ns,446390
parse_event_malformed,,,,,67868454.0,ns,452767
parse_event_malformed,,,,,68531221.0,ns,459144
parse_event_malformed,,,,,69623407.0,ns,465521
parse_event_malformed,,,,,70663256.0,ns,471898
parse_event_malformed,,,,,71511288.0,ns,478275
parse_event_malformed,,,,,80510839.0,ns,484652
parse_event_malformed,,,,,74243042.0,ns,491029
parse_event_malformed,,,,,75464530.0,ns,497406
parse_event_malformed,,,,,75817097.0,ns,503783
parse_event_malformed,,,,,77047070.0,ns,510160
parse_event_malformed,,,,,78130882.0,ns,516537
parse_event_malformed,,,,,79071815.0,ns,522914
parse_event_malformed,,,,,79969259.0,ns,529291
parse_event_malformed,,,,,80770873.0,ns,535668
parse_event_malformed,,,,,81978395.0,ns,542045
parse_event_malformed,,,,,82832087.0,ns,548422
parse_event_malformed,,,,,83703512.0,ns,554799
parse_event_malformed,,,,,84674534.0,ns,561176
parse_event_malformed,,,,,85475527.0,ns,567553
parse_event_malformed,,,,,86876960.0,ns,573930
parse_event_malformed,,,,,87889759.0,ns,580307
parse_event_malformed,,,,,88556422.0,ns,586684
parse_event_malformed,,,,,89415674.0,ns,593061
parse_event_malformed,,,,,90654534.0,ns,599438
parse_event_malformed,,,,,91681148.0,ns,605815
parse_event_malformed,,,,,92545540.0,ns,612192
parse_event_malformed,,,,,93426573.0,ns,618569
parse_event_malformed,,,,,95019172.0,ns,624946
parse_event_malformed,,,,,96877479.0,ns,631323
parse_event_malformed,,,,,107213461.0,ns,637700
