group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse_event_union_iff,,,,,951965.0,ns,3480
parse_event_union_iff,,,,,1915261.0,ns,6960
parse_event_union_iff,,,,,2858079.0,ns,10440
parse_event_union_iff,,,,,3827375.0,ns,13920
parse_event_union_iff,,,,,4759553.0,ns,17400
parse_event_union_iff,,,,,5726717.0,ns,20880
parse_event_union_iff,,,,,6689362.0,ns,24360
parse_event_union_iff,,,,,7658909.0,ns,27840
parse_event_union_iff,,,,,8503223.0,ns,31320
parse_event_union_iff,,,,,9542541.0,ns,34800
parse_event_union_iff,,,,,10312927.0,ns,38280
parse_event_union_iff,,,,,11364287.0,ns,41760
parse_event_union_iff,,,,,12267131.0,ns,45240
parse_event_union_iff,,,,,13364627.0,ns,48720
parse_event_union_iff,,,,,14174777.0,ns,52200
parse_event_union_iff,,,,,15236557.0,ns,55680
parse_event_union_iff,,,,,16095528.0,ns,59160
parse_event_union_iff,,,,,16993662.0,ns,62640
parse_event_union_iff,,,,,18049691.0,ns,66120
parse_event_union_iff,,,,,18923861.0,ns,69600
parse_event_union_iff,,,,,19856840.0,ns,73080
parse_event_union_iff,,,,,21042240.0,ns,76560
parse_event_union_iff,,,,,22825856.0,ns,80040
parse_event_union_iff,,,,,25232833.0,ns,83520
parse_event_union_iff,,,,,23854974.0,ns,87000
parse_event_union_iff,,,,,24538298.0,ns,90480
parse_event_union_iff,,,,,25570873.0,ns,93960
parse_event_union_iff,,,,,26737448.0,ns,97440
parse_event_union_iff,,,,,27632437.0,ns,100920
parse_event_union_iff,,,,,28902194.0,ns,104400
parse_event_union_iff,,,,,29264781.0,ns,107880
parse_event_union_iff,,,,,30261739.0,ns,111360
parse_event_union_iff,,,,,31373702.0,ns,114840
parse_event_union_iff,,,,,32774043.0,ns,118320
parse_event_union_iff,,,,,33144884.0,ns,121800
parse_event_union_iff,,,,,34162592.0,ns,125280
parse_event_union_iff,,,,,35212829.0,ns,128760
parse_event_union_iff,,,,,36983140.0,ns,132240
parse_event_union_iff,,,,,37917542.0,ns,135720
parse_event_union_iff,,,,,38829923.0,ns,139200
parse_event_union_iff,,,,,41977762.0,ns,142680
parse_event_union_iff,,,,,39942007.0,ns,146160
parse_event_union_iff,,,,,41170788.0,ns,149640
parse_event_union_iff,,,,,41821531.0,ns,153120
parse_event_union_iff,,,,,42598990.0,ns,156600
parse_event_union_iff,,,,,43635924.0,ns,160080
parse_event_union_iff,,,,,44731627.0,ns,163560
parse_event_union_iff,,,,,47202914.0,ns,167040
parse_event_union_iff,,,,,47023800.0,ns,170520
parse_event_union_iff,,,,,47396685.0,ns,174000
parse_event_union_iff,,,,,48144419.0,ns,177480
parse_event_union_iff,,,,,49447920.0,ns,180960
parse_event_union_iff,,,,,50058959.0,ns,184440
parse_event_union_iff,,,,,51202350.0,ns,187920
parse_event_union_iff,,,,,53833476.0,ns,191400
parse_event_union_iff,,,,,55472912.0,ns,194880
parse_event_union_iff,,,,,58408907.0,ns,198360
parse_event_union_iff,,,,,55417940.0,ns,201840
parse_event_union_iff,,,,,56344407.0,ns,205320
parse_event_union_iff,,,,,59089485.0,ns,208800
parse_event_union_iff,,,,,58043876.0,ns,212280
parse_event_union_iff,,,,,59141333.0,ns,215760
parse_event_union_iff,,,,,60698015.0,ns,219240
parse_event_union_iff,,,,,62320641.0,ns,222720
parse_event_union_iff,,,,,62223409.0,ns,226200
parse_event_union_iff,,,,,63673793.0,ns,229680
parse_event_union_iff,,,,,64703373.0,ns,233160
parse_event_union_iff,,,,,65606416.0,ns,236640
parse_event_union_iff,,,,,66669388.0,ns,240120
parse_event_union_iff,,,,,67702003.0,ns,243600
parse_event_union_iff,,,,,69396903.0,ns,247080
parse_event_union_iff,,,,,69735755.0,ns,250560
parse_event_union_iff,,,,,72659847.0,ns,254040
parse_event_union_iff,,,,,75179975.0,ns,257520
parse_event_union_iff,,,,,72016708.0,ns,261000
parse_event_union_iff,,,,,74531416.0,ns,264480
parse_event_union_iff,,,,,75026971.0,ns,267960
parse_event_union_iff,,,,,76969163.0,ns,271440
parse_event_union_iff,,,,,77611540.0,ns,274920
parse_event_union_iff,,,,,78763187.0,ns,278400
parse_event_union_iff,,,,,77291463.0,ns,281880
parse_event_union_iff,,,,,77213327.0,ns,285360
parse_event_union_iff,,,,,78629839.0,ns,288840
parse_event_union_iff,,,,,78883452.0,ns,292320
parse_event_union_iff,,,,,79834635.0,ns,295800
parse_event_union_iff,,,,,80586166.0,ns,299280
parse_event_union_iff,,,,,82096422.0,ns,302760
parse_event_union_iff,,,,,82953470.0,ns,306240
parse_event_union_iff,,,,,83769300.0,ns,309720
parse_event_union_iff,,,,,84830701.0,ns,313200
parse_event_union_iff,,,,,85453862.0,ns,316680
parse_event_union_iff,,,,,86269633.0,ns,320160
parse_event_union_iff,,,,,87327686.0,ns,323640
parse_event_union_iff,,,,,88393053.0,ns,327120
parse_event_union_iff,,,,,88992931.0,ns,330600
parse_event_union_iff,,,,,90262649.0,ns,334080
parse_event_union_iff,,,,,90763823.0,ns,337560
parse_event_union_iff,,,,,121757278.0,ns,341040
parse_event_union_iff,,,,,122433499.0,ns,344520
parse_event_union_iff,,,,,123771906.0,ns,348000
