group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse_event_malformed,,,,,998357.0,ns,3439
parse_event_malformed,,,,,1940710.0,ns,6878
parse_event_malformed,,,,,2936132.0,ns,10317
parse_event_malformed,,,,,3947352.0,ns,13756
parse_event_malformed,,,,,5139832.0,ns,17195
parse_event_malformed,,,,,5840293.0,ns,20634
parse_event_malformed,,,,,6810337.0,ns,24073
parse_event_malformed,,,,,7845052.0,ns,27512
parse_event_malformed,,,,,9368811.0,ns,30951
parse_event_malformed,,,,,10056237.0,ns,34390
parse_event_malformed,,,,,10710701.0,ns,37829
parse_event_malformed,,,,,11874658.0,ns,41268
parse_event_malformed,,,,,12794779.0,ns,44707
parse_event_malformed,,,,,13692689.0,ns,48146
parse_event_malformed,,,,,14628599.0,ns,51585
parse_event_malformed,,,,,16003510.0,ns,55024
parse_event_malformed,,,,,17349037.0,ns,58463
parse_event_malformed,,,,,18659097.0,ns,61902
parse_event_malformed,,,,,19288423.0,ns,65341
parse_event_malformed,,,,,20296629.0,ns,68780
parse_event_malformed,,,,,21337436.0,ns,72219
parse_event_malformed,,,,,22297261.0,ns,75658
parse_event_malformed,,,,,22419510.0,ns,79097
parse_event_malformed,,,,,22997641.0,ns,82536
parse_event_malformed,,,,,24157770.0,ns,85975
parse_event_malformed,,,,,25382641.0,ns,89414
parse_event_malformed,,,,,26099361.0,ns,92853
parse_event_malformed,,,,,27354819.0,ns,96292
parse_event_malformed,,,,,27973196.0,ns,99731
parse_event_malformed,,,,,28925217.0,ns,103170
parse_event_malformed,,,,,30511785.0,ns,106609
parse_event_malformed,,,,,31489894.0,ns,110048
parse_event_malformed,,,,,32241319.0,ns,113487
parse_event_malformed,,,,,32901824.0,ns,116926
parse_event_malformed,,,,,34108521.0,ns,120365
parse_event_malformed,,,,,34921802.0,ns,123804
parse_event_malformed,,,,,35712070.0,ns,127243
parse_event_malformed,,,,,37138528.0,ns,130682
parse_event_malformed,,,,,37860909.0,ns,134121
parse_event_malformed,,,,,38905272.0,ns,137560
parse_event_malformed,,,,,40191297.0,ns,140999
parse_event_malformed,,,,,40636931.0,ns,144438
parse_event_malformed,,,,,41790748.0,ns,147877
parse_event_malformed,,,,,42376464.0,ns,151316
parse_event_malformed,,,,,43400559.0,ns,154755
parse_event_malformed,,,,,44590004.0,ns,158194
parse_event_malformed,,,,,45579074.0,ns,161633
parse_event_malformed,,,,,46428492.0,ns,165072
parse_event_malformed,,,,,49526426.0,ns,168511
parse_event_malformed,,,,,52917789.0,ns,171950
parse_event_malformed,,,,,53633278.0,ns,175389
parse_event_malformed,,,,,54813544.0,ns,178828
parse_event_malformed,,,,,55701626.0,ns,182267
parse_event_malformed,,,,,56935834.0,ns,185706
parse_event_malformed,,,,,58304024.0,ns,189145
parse_event_malformed,,,,,58532811.0,ns,192584
parse_event_malformed,,,,,59650952.0,ns,196023
parse_event_malformed,,,,,60686740.0,ns,199462
parse_event_malformed,,,,,61938301.0,ns,202901
parse_event_malformed,,,,,63245615.0,ns,206340
parse_event_malformed,,,,,64397009.0,ns,209779
parse_event_malformed,,,,,65175065.0,ns,213218
parse_event_malformed,,,,,66836301.0,ns,216657
parse_event_malformed,,,,,67452564.0,ns,220096
parse_event_malformed,,,,,68384226.0,ns,223535
parse_event_malformed,,,,,69189262.0,ns,226974
parse_event_malformed,,,,,69936108.0,ns,230413
parse_event_malformed,,,,,68611040.0,ns,233852
parse_event_malformed,,,,,67039661.0,ns,237291
parse_event_malformed,,,,,68139610.0,ns,240730
parse_event_malformed,,,,,68745543.0,ns,244169
parse_event_malformed,,,,,70561189.0,ns,247608
parse_event_malformed,,,,,71554186.0,ns,251047
parse_event_malformed,,,,,72440523.0,ns,254486
parse_event_malformed,,,,,73828470.0,ns,257925
parse_event_malformed,,,,,74059471.0,ns,261364
parse_event_malformed,,,,,75339896.0,ns,264803
parse_event_malformed,,,,,76240641.0,ns,268242
parse_event_malformed,,,,,77301885.0,ns,271681
parse_event_malformed,,,,,77792603.0,ns,275120
parse_event_malformed,,,,,78991836.0,ns,278559
parse_event_malformed,,,,,79778688.0,ns,281998
parse_event_malformed,,,,,80921175.0,ns,285437
parse_event_malformed,,,,,81872485.0,ns,288876
parse_event_malformed,,,,,83039528.0,ns,292315
parse_event_malformed,,,,,83995165.0,ns,295754
parse_event_malformed,,,,,84504047.0,ns,299193
parse_event_malformed,,,,,86074254.0,ns,302632
parse_event_malformed,,,,,87857789.0,ns,306071
parse_event_malformed,,,,,87713770.0,ns,309510
parse_event_malformed,,,,,88379435.0,ns,312949
parse_event_malformed,,,,,89120261.0,ns,316388
parse_event_malformed,,,,,90565484.0,ns,319827
parse_event_malformed,,,,,97473914.0,ns,323266
parse_event_malformed,,,,,99458087.0,ns,326705
parse_event_malformed,,,,,100506688.0,ns,330144
parse_event_malformed,,,,,101018986.0,ns,333583
parse_event_malformed,,,,,102421128.0,ns,337022
parse_event_malformed,,,,,96845381.0,ns,340461
parse_event_malformed,,,,,97746506.0,ns,343900
