group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokenize_union_iff,,,,,1034154.0,ns,3580
tokenize_union_iff,,,,,2052368.0,ns,7160
tokenize_union_iff,,,,,3107091.0,ns,10740
tokenize_union_iff,,,,,3950016.0,ns,14320
tokenize_union_iff,,,,,4960306.0,ns,17900
tokenize_union_iff,,,,,6730355.0,ns,21480
tokenize_union_iff,,,,,6972729.0,ns,25060
tokenize_union_iff,,,,,8607306.0,ns,28640
tokenize_union_iff,,,,,8930339.0,ns,32220
tokenize_union_iff,,,,,10451073.0,ns,35800
tokenize_union_iff,,,,,11068307.0,ns,39380
tokenize_union_iff,,,,,11981103.0,ns,42960
tokenize_union_iff,,,,,12736045.0,ns,46540
tokenize_union_iff,,,,,13682285.0,ns,50120
tokenize_union_iff,,,,,14583059.0,ns,53700
tokenize_union_iff,,,,,15600392.0,ns,57280
tokenize_union_iff,,,,,16572419.0,ns,60860
tokenize_union_iff,,,,,17713633.0,ns,64440
tokenize_union_iff,,,,,18264834.0,ns,68020
tokenize_union_iff,,,,,18830041.0,ns,71600
tokenize_union_iff,,,,,19699256.0,ns,75180
tokenize_union_iff,,,,,20693816.0,ns,78760
tokenize_union_iff,,,,,21841081.0,ns,82340
tokenize_union_iff,,,,,23650395.0,ns,85920
tokenize_union_iff,,,,,23214279.0,ns,89500
tokenize_union_iff,,,,,25105666.0,ns,93080
tokenize_union_iff,,,,,24981333.0,ns,96660
tokenize_union_iff,,,,,25934065.0,ns,100240
tokenize_union_iff,,,,,26851170.0,ns,103820
tokenize_union_iff,,,,,27653280.0,ns,107400
tokenize_union_iff,,,,,29299608.0,ns,110980
tokenize_union_iff,,,,,31879112.0,ns,114560
tokenize_union_iff,,,,,32899650.0,ns,118140
tokenize_union_iff,,,,,34164485.0,ns,121720
tokenize_union_iff,,,,,34612203.0,ns,125300
tokenize_union_iff,,,,,35680721.0,ns,128880
tokenize_union_iff,,,,,36761992.0,ns,132460
tokenize_union_iff,,,,,37210801.0,ns,136040
tokenize_union_iff,,,,,38231359.0,ns,139620
tokenize_union_iff,,,,,39633171.0,ns,143200
tokenize_union_iff,,,,,40534958.0,ns,146780
tokenize_union_iff,,,,,41870195.0,ns,150360
tokenize_union_iff,,,,,42797389.0,ns,153940
tokenize_union_iff,,,,,43463314.0,ns,157520
tokenize_union_iff,,,,,44573299.0,ns,161100
tokenize_union_iff,,,,,45538755.0,ns,164680
tokenize_union_iff,,,,,46288848.0,ns,168260
tokenize_union_iff,,,,,47608976.0,ns,171840
tokenize_union_iff,,,,,48491075.0,ns,175420
tokenize_union_iff,,,,,49508698.0,ns,179000
tokenize_union_iff,,,,,50607583.0,ns,182580
tokenize_union_iff,,,,,52284069.0,ns,186160
tokenize_union_iff,,,,,52832614.0,ns,189740
tokenize_union_iff,,,,,53483931.0,ns,193320
tokenize_union_iff,,,,,54718580.0,ns,196900
tokenize_union_iff,,,,,55639603.0,ns,200480
tokenize_union_iff,,,,,56705416.0,ns,204060
tokenize_union_iff,,,,,57890893.0,ns,207640
tokenize_union_iff,,,,,58608524.0,ns,211220
tokenize_union_iff,,,,,61763464.0,ns,214800
tokenize_union_iff,,,,,63097490.0,ns,218380
tokenize_union_iff,,,,,61122917.0,ns,221960
tokenize_union_iff,,,,,61968078.0,ns,225540
tokenize_union_iff,,,,,63003244.0,ns,229120
tokenize_union_iff,,,,,64320096.0,ns,232700
tokenize_union_iff,,,,,65541671.0,ns,236280
tokenize_union_iff,,,,,66466109.0,ns,239860
tokenize_union_iff,,,,,67449057.0,ns,243440
tokenize_union_iff,,,,,68500473.0,ns,247020
tokenize_union_iff,,,,,69192057.0,ns,250600
tokenize_union_iff,,,,,70827174.0,ns,254180
tokenize_union_iff,,,,,70855016.0,ns,257760
tokenize_union_iff,,,,,72879893.0,ns,261340
tokenize_union_iff,,,,,73894189.0,ns,264920
tokenize_union_iff,,,,,75919868.0,ns,268500
tokenize_union_iff,,,,,77884793.0,ns,272080
tokenize_union_iff,,,,,77259082.0,ns,275660
tokenize_union_iff,,,,,80167160.0,ns,279240
tokenize_union_iff,,,,,80763455.0,ns,282820
tokenize_union_iff,,,,,81726857.0,ns,286400
tokenize_union_iff,,,,,82298316.0,ns,289980
tokenize_union_iff,,,,,82516794.0,ns,293560
tokenize_union_iff,,,,,83695950.0,ns,297140
tokenize_union_iff,,,,,83907024.0,ns,300720
tokenize_union_iff,,,,,83743909.0,ns,304300
tokenize_union_iff,,,,,84987394.0,ns,307880
tokenize_union_iff,,,,,86064779.0,ns,311460
tokenize_union_iff,,,,,89087202.0,ns,315040
tokenize_union_iff,,,,,88211354.0,ns,318620
tokenize_union_iff,,,,,88934297.0,ns,322200
tokenize_union_iff,,,,,89944917.0,ns,325780
tokenize_union_iff,,,,,91290623.0,ns,329360
tokenize_union_iff,,,,,92260857.0,ns,332940
tokenize_union_iff,,,,,94132077.0,ns,336520
tokenize_union_iff,,,,,95204732.0,ns,340100
tokenize_union_iff,,,,,96692034.0,ns,343680
tokenize_union_iff,,,,,96367546.0,ns,347260
tokenize_union_iff,,,,,97339816.0,ns,350840
tokenize_union_iff,,,,,98077286.0,ns,354420
tokenize_union_iff,,,,,99439343.0,ns,358000
