group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
tokenize_union_iff,,,,,993613.0,ns,5123
tokenize_union_iff,,,,,1975804.0,ns,10246
tokenize_union_iff,,,,,3077158.0,ns,15369
tokenize_union_iff,,,,,3885465.0,ns,20492
tokenize_union_iff,,,,,4902923.0,ns,25615
tokenize_union_iff,,,,,6018322.0,ns,30738
tokenize_union_iff,,,,,6792576.0,ns,35861
tokenize_union_iff,,,,,7972787.0,ns,40984
tokenize_union_iff,,,,,8789119.0,ns,46107
tokenize_union_iff,,,,,9950795.0,ns,51230
tokenize_union_iff,,,,,10683742.0,ns,56353
tokenize_union_iff,,,,,11722329.0,ns,61476
tokenize_union_iff,,,,,12779620.0,ns,66599
tokenize_union_iff,,,,,13585823.0,ns,71722
tokenize_union_iff,,,,,14711692.0,ns,76845
tokenize_union_iff,,,,,15576595.0,ns,81968
tokenize_union_iff,,,,,16548387.0,ns,87091
tokenize_union_iff,,,,,17429169.0,ns,92214
tokenize_union_iff,,,,,18462526.0,ns,97337
tokenize_union_iff,,,,,19439428.0,ns,102460
tokenize_union_iff,,,,,20454531.0,ns,107583
tokenize_union_iff,,,,,21440119.0,ns,112706
tokenize_union_iff,,,,,22659562.0,ns,117829
tokenize_union_iff,,,,,23678753.0,ns,122952
tokenize_union_iff,,,,,24704777.0,ns,128075
tokenize_union_iff,,,,,25539533.0,ns,133198
tokenize_union_iff,,,,,26459268.0,ns,138321
tokenize_union_iff,,,,,27636082.0,ns,143444
tokenize_union_iff,,,,,28383566.0,ns,148567
tokenize_union_iff,,,,,29346111.0,ns,153690
tokenize_union_iff,,,,,30486217.0,ns,158813
tokenize_union_iff,,,,,31585096.0,ns,163936
tokenize_union_iff,,,,,32460859.0,ns,169059
tokenize_union_iff,,,,,33254819.0,ns,174182
tokenize_union_iff,,,,,34409262.0,ns,179305
tokenize_union_iff,,,,,35412753.0,ns,184428
tokenize_union_iff,,,,,36239375.0,ns,189551
tokenize_union_iff,,,,,36954118.0,ns,194674
tokenize_union_iff,,,,,38101897.0,ns,199797
tokenize_union_iff,,,,,39350716.0,ns,204920
tokenize_union_iff,,,,,40412586.0,ns,210043
tokenize_union_iff,,,,,41113123.0,ns,215166
tokenize_union_iff,,,,,42518423.0,ns,220289
tokenize_union_iff,,,,,44048697.0,ns,225412
tokenize_union_iff,,,,,44184580.0,ns,230535
tokenize_union_iff,,,,,45300701.0,ns,235658
tokenize_union_iff,,,,,46407315.0,ns,240781
tokenize_union_iff,,,,,47545698.0,ns,245904
tokenize_union_iff,,,,,48417853.0,ns,251027
tokenize_union_iff,,,,,49680950.0,ns,256150
tokenize_union_iff,,,,,50150385.0,ns,261273
tokenize_union_iff,,,,,51756630.0,ns,266396
tokenize_union_iff,,,,,52258336.0,ns,271519
tokenize_union_iff,,,,,53091720.0,ns,276642
tokenize_union_iff,,,,,54355116.0,ns,281765
tokenize_union_iff,,,,,54905472.0,ns,286888
tokenize_union_iff,,,,,56247515.0,ns,292011
tokenize_union_iff,,,,,57265062.0,ns,297134
tokenize_union_iff,,,,,57610185.0,ns,302257
tokenize_union_iff,,,,,58643222.0,ns,307380
tokenize_union_iff,,,,,59467178.0,ns,312503
tokenize_union_iff,,,,,60390870.0,ns,317626
tokenize_union_iff,,,,,61558758.0,ns,322749
tokenize_union_iff,,,,,62534428.0,ns,327872
tokenize_union_iff,,,,,63942493.0,ns,332995
tokenize_union_iff,,,,,64734289.0,ns,338118
tokenize_union_iff,,,,,65500298.0,ns,343241
tokenize_union_iff,,,,,66399425.0,ns,348364
tokenize_union_iff,,,,,67643375.0,ns,353487
tokenize_union_iff,,,,,69049928.0,ns,358610
tokenize_union_iff,,,,,70015799.0,ns,363733
tokenize_union_iff,,,,,70841949.0,ns,368856
tokenize_union_iff,,,,,72026949.0,ns,373979
tokenize_union_iff,,,,,72843562.0,ns,379102
tokenize_union_iff,,,,,74112508.0,ns,384225
tokenize_union_iff,,,,,74859050.0,ns,389348
tokenize_union_iff,,,,,76090226.0,ns,394471
tokenize_union_iff,,,,,77008719.0,ns,399594
tokenize_union_iff,,,,,78010627.0,ns,404717
tokenize_union_iff,,,,,78959186.0,ns,409840
tokenize_union_iff,,,,,79665614.0,ns,414963
tokenize_union_iff,,,,,81046770.0,ns,420086
tokenize_union_iff,,,,,81980421.0,ns,425209
tokenize_union_iff,,,,,83169218.0,ns,430332
tokenize_union_iff,,,,,84092149.0,ns,435455
tokenize_union_iff,,,,,85052309.0,ns,440578
tokenize_union_iff,,,,,86315915.0,ns,445701
tokenize_union_iff,,,,,86918820.0,ns,450824
tokenize_union_iff,,,,,87208731.0,ns,455947
tokenize_union_iff,,,,,88055028.0,ns,461070
tokenize_union_iff,,,,,89327341.0,ns,466193
tokenize_union_iff,,,,,91365542.0,ns,471316
tokenize_union_iff,,,,,90517001.0,ns,476439
tokenize_union_iff,,,,,91767021.0,ns,481562
tokenize_union_iff,,,,,93052859.0,ns,486685
tokenize_union_iff,,,,,93831642.0,ns,491808
tokenize_union_iff,,,,,95226333.0,ns,496931
tokenize_union_iff,,,,,97067757.0,ns,502054
tokenize_union_iff,,,,,96914040.0,ns,507177
tokenize_union_iff,,,,,98373661.0,ns,512300
