group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_logical_rich_types,,,,,1009486.0,ns,1057
bind_logical_rich_types,,,,,1996751.0,ns,2114
bind_logical_rich_types,,,,,2992893.0,ns,3171
bind_logical_rich_types,,,,,4059145.0,ns,4228
bind_logical_rich_types,,,,,5007658.0,ns,5285
bind_logical_rich_types,,,,,6047611.0,ns,6342
bind_logical_rich_types,,,,,7169256.0,ns,7399
bind_logical_rich_types,,,,,8048771.0,ns,8456
bind_logical_rich_types,,,,,9045744.0,ns,9513
bind_logical_rich_types,,,,,9989328.0,ns,10570
bind_logical_rich_types,,,,,11050591.0,ns,11627
bind_logical_rich_types,,,,,12188185.0,ns,12684
bind_logical_rich_types,,,,,12976891.0,ns,13741
bind_logical_rich_types,,,,,14102173.0,ns,14798
bind_logical_rich_types,,,,,15042630.0,ns,15855
bind_logical_rich_types,,,,,16104344.0,ns,16912
bind_logical_rich_types,,,,,17063517.0,ns,17969
bind_logical_rich_types,,,,,18100084.0,ns,19026
bind_logical_rich_types,,,,,19142591.0,ns,20083
bind_logical_rich_types,,,,,19994465.0,ns,21140
bind_logical_rich_types,,,,,21128703.0,ns,22197
bind_logical_rich_types,,,,,22110848.0,ns,23254
bind_logical_rich_types,,,,,23156272.0,ns,24311
bind_logical_rich_types,,,,,24072475.0,ns,25368
bind_logical_rich_types,,,,,25037238.0,ns,26425
bind_logical_rich_types,,,,,26178178.0,ns,27482
bind_logical_rich_types,,,,,27093911.0,ns,28539
bind_logical_rich_types,,,,,28019331.0,ns,29596
bind_logical_rich_types,,,,,29183224.0,ns,30653
bind_logical_rich_types,,,,,30085051.0,ns,31710
bind_logical_rich_types,,,,,31076013.0,ns,32767
bind_logical_rich_types,,,,,32098393.0,ns,33824
bind_logical_rich_types,,,,,33099614.0,ns,34881
bind_logical_rich_types,,,,,34137483.0,ns,35938
bind_logical_rich_types,,,,,34923795.0,ns,36995
bind_logical_rich_types,,,,,35959009.0,ns,38052
bind_logical_rich_types,,,,,36904657.0,ns,39109
bind_logical_rich_types,,,,,37928761.0,ns,40166
bind_logical_rich_types,,,,,38956099.0,ns,41223
bind_logical_rich_types,,,,,39877382.0,ns,42280
bind_logical_rich_types,,,,,41009687.0,ns,43337
bind_logical_rich_types,,,,,41933374.0,ns,44394
bind_logical_rich_types,,,,,43017900.0,ns,45451
bind_logical_rich_types,,,,,43965591.0,ns,46508
bind_logical_rich_types,,,,,44986018.0,ns,47565
bind_logical_rich_types,,,,,46010542.0,ns,48622
bind_logical_rich_types,,,,,47154929.0,ns,49679
bind_logical_rich_types,,,,,48148215.0,ns,50736
bind_logical_rich_types,,,,,48952181.0,ns,51793
bind_logical_rich_types,,,,,49646521.0,ns,52850
bind_logical_rich_types,,,,,50756204.0,ns,53907
bind_logical_rich_types,,,,,51744120.0,ns,54964
bind_logical_rich_types,,,,,52722388.0,ns,56021
bind_logical_rich_types,,,,,53731815.0,ns,57078
bind_logical_rich_types,,,,,54800571.0,ns,58135
bind_logical_rich_types,,,,,55754885.0,ns,59192
bind_logical_rich_types,,,,,56711382.0,ns,60249
bind_logical_rich_types,,,,,57676807.0,ns,61306
bind_logical_rich_types,,,,,58827666.0,ns,62363
bind_logical_rich_types,,,,,60910057.0,ns,63420
bind_logical_rich_types,,,,,61133453.0,ns,64477
bind_logical_rich_types,,,,,62072558.0,ns,65534
bind_logical_rich_types,,,,,63442184.0,ns,66591
bind_logical_rich_types,,,,,64221853.0,ns,67648
bind_logical_rich_types,,,,,66781641.0,ns,68705
bind_logical_rich_types,,,,,70159841.0,ns,69762
bind_logical_rich_types,,,,,67586236.0,ns,70819
bind_logical_rich_types,,,,,71146444.0,ns,71876
bind_logical_rich_types,,,,,69685499.0,ns,72933
bind_logical_rich_types,,,,,70518988.0,ns,73990
bind_logical_rich_types,,,,,71974463.0,ns,75047
bind_logical_rich_types,,,,,72548360.0,ns,76104
bind_logical_rich_types,,,,,73569398.0,ns,77161
bind_logical_rich_types,,,,,74717732.0,ns,78218
bind_logical_rich_types,,,,,75583411.0,ns,79275
bind_logical_rich_types,,,,,76548035.0,ns,80332
bind_logical_rich_types,,,,,77643130.0,ns,81389
bind_logical_rich_types,,,,,78630526.0,ns,82446
bind_logical_rich_types,,,,,84835309.0,ns,83503
bind_logical_rich_types,,,,,83020996.0,ns,84560
bind_logical_rich_types,,,,,81791952.0,ns,85617
bind_logical_rich_types,,,,,84268004.0,ns,86674
bind_logical_rich_types,,,,,84017008.0,ns,87731
bind_logical_rich_types,,,,,85212640.0,ns,88788
bind_logical_rich_types,,,,,86013478.0,ns,89845
bind_logical_rich_types,,,,,87060655.0,ns,90902
bind_logical_rich_types,,,,,88967370.0,ns,91959
bind_logical_rich_types,,,,,89254634.0,ns,93016
bind_logical_rich_types,,,,,89944676.0,ns,94073
bind_logical_rich_types,,,,,91391055.0,ns,95130
bind_logical_rich_types,,,,,92414397.0,ns,96187
bind_logical_rich_types,,,,,93399428.0,ns,97244
bind_logical_rich_types,,,,,94548223.0,ns,98301
bind_logical_rich_types,,,,,95213911.0,ns,99358
bind_logical_rich_types,,,,,96551978.0,ns,100415
bind_logical_rich_types,,,,,97441211.0,ns,101472
bind_logical_rich_types,,,,,98322408.0,ns,102529
bind_logical_rich_types,,,,,99019284.0,ns,103586
bind_logical_rich_types,,,,,99611906.0,ns,104643
bind_logical_rich_types,,,,,100627844.0,ns,105700
