group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_waveform_host_metadata_path,,,,,977938.0,ns,44
bind_waveform_host_metadata_path,,,,,1943703.0,ns,88
bind_waveform_host_metadata_path,,,,,2978547.0,ns,132
bind_waveform_host_metadata_path,,,,,3866377.0,ns,176
bind_waveform_host_metadata_path,,,,,5012658.0,ns,220
bind_waveform_host_metadata_path,,,,,6002668.0,ns,264
bind_waveform_host_metadata_path,,,,,6906819.0,ns,308
bind_waveform_host_metadata_path,,,,,8005059.0,ns,352
bind_waveform_host_metadata_path,,,,,8832177.0,ns,396
bind_waveform_host_metadata_path,,,,,9914599.0,ns,440
bind_waveform_host_metadata_path,,,,,10653082.0,ns,484
bind_waveform_host_metadata_path,,,,,11670694.0,ns,528
bind_waveform_host_metadata_path,,,,,13208121.0,ns,572
bind_waveform_host_metadata_path,,,,,14299981.0,ns,616
bind_waveform_host_metadata_path,,,,,14857387.0,ns,660
bind_waveform_host_metadata_path,,,,,16333691.0,ns,704
bind_waveform_host_metadata_path,,,,,17571632.0,ns,748
bind_waveform_host_metadata_path,,,,,18017110.0,ns,792
bind_waveform_host_metadata_path,,,,,18497423.0,ns,836
bind_waveform_host_metadata_path,,,,,21197061.0,ns,880
bind_waveform_host_metadata_path,,,,,21572479.0,ns,924
bind_waveform_host_metadata_path,,,,,21956292.0,ns,968
bind_waveform_host_metadata_path,,,,,22713170.0,ns,1012
bind_waveform_host_metadata_path,,,,,24060243.0,ns,1056
bind_waveform_host_metadata_path,,,,,24534034.0,ns,1100
bind_waveform_host_metadata_path,,,,,25724126.0,ns,1144
bind_waveform_host_metadata_path,,,,,26779096.0,ns,1188
bind_waveform_host_metadata_path,,,,,27671015.0,ns,1232
bind_waveform_host_metadata_path,,,,,28662197.0,ns,1276
bind_waveform_host_metadata_path,,,,,29816673.0,ns,1320
bind_waveform_host_metadata_path,,,,,30514390.0,ns,1364
bind_waveform_host_metadata_path,,,,,31436484.0,ns,1408
bind_waveform_host_metadata_path,,,,,32647665.0,ns,1452
bind_waveform_host_metadata_path,,,,,33589907.0,ns,1496
bind_waveform_host_metadata_path,,,,,34394893.0,ns,1540
bind_waveform_host_metadata_path,,,,,35072914.0,ns,1584
bind_waveform_host_metadata_path,,,,,36302359.0,ns,1628
bind_waveform_host_metadata_path,,,,,37249299.0,ns,1672
bind_waveform_host_metadata_path,,,,,40544213.0,ns,1716
bind_waveform_host_metadata_path,,,,,39636216.0,ns,1760
bind_waveform_host_metadata_path,,,,,40119444.0,ns,1804
bind_waveform_host_metadata_path,,,,,40961889.0,ns,1848
bind_waveform_host_metadata_path,,,,,43850850.0,ns,1892
bind_waveform_host_metadata_path,,,,,43303492.0,ns,1936
bind_waveform_host_metadata_path,,,,,44435677.0,ns,1980
bind_waveform_host_metadata_path,,,,,45136690.0,ns,2024
bind_waveform_host_metadata_path,,,,,46593157.0,ns,2068
bind_waveform_host_metadata_path,,,,,50440499.0,ns,2112
bind_waveform_host_metadata_path,,,,,49153026.0,ns,2156
bind_waveform_host_metadata_path,,,,,49644129.0,ns,2200
bind_waveform_host_metadata_path,,,,,50305137.0,ns,2244
bind_waveform_host_metadata_path,,,,,51372862.0,ns,2288
bind_waveform_host_metadata_path,,,,,52447970.0,ns,2332
bind_waveform_host_metadata_path,,,,,53378710.0,ns,2376
bind_waveform_host_metadata_path,,,,,54333114.0,ns,2420
bind_waveform_host_metadata_path,,,,,55608284.0,ns,2464
bind_waveform_host_metadata_path,,,,,56764083.0,ns,2508
bind_waveform_host_metadata_path,,,,,58655068.0,ns,2552
bind_waveform_host_metadata_path,,,,,58837046.0,ns,2596
bind_waveform_host_metadata_path,,,,,59988587.0,ns,2640
bind_waveform_host_metadata_path,,,,,61720315.0,ns,2684
bind_waveform_host_metadata_path,,,,,62611111.0,ns,2728
bind_waveform_host_metadata_path,,,,,63089200.0,ns,2772
bind_waveform_host_metadata_path,,,,,63955610.0,ns,2816
bind_waveform_host_metadata_path,,,,,65244587.0,ns,2860
bind_waveform_host_metadata_path,,,,,65008818.0,ns,2904
bind_waveform_host_metadata_path,,,,,66196005.0,ns,2948
bind_waveform_host_metadata_path,,,,,66745096.0,ns,2992
bind_waveform_host_metadata_path,,,,,67539002.0,ns,3036
bind_waveform_host_metadata_path,,,,,68884964.0,ns,3080
bind_waveform_host_metadata_path,,,,,69785467.0,ns,3124
bind_waveform_host_metadata_path,,,,,70681203.0,ns,3168
bind_waveform_host_metadata_path,,,,,73621919.0,ns,3212
bind_waveform_host_metadata_path,,,,,73297456.0,ns,3256
bind_waveform_host_metadata_path,,,,,74635754.0,ns,3300
bind_waveform_host_metadata_path,,,,,75637285.0,ns,3344
bind_waveform_host_metadata_path,,,,,76743892.0,ns,3388
bind_waveform_host_metadata_path,,,,,76602149.0,ns,3432
bind_waveform_host_metadata_path,,,,,78579284.0,ns,3476
bind_waveform_host_metadata_path,,,,,79769216.0,ns,3520
bind_waveform_host_metadata_path,,,,,80818515.0,ns,3564
bind_waveform_host_metadata_path,,,,,81829355.0,ns,3608
bind_waveform_host_metadata_path,,,,,82629533.0,ns,3652
bind_waveform_host_metadata_path,,,,,86758297.0,ns,3696
bind_waveform_host_metadata_path,,,,,84426172.0,ns,3740
bind_waveform_host_metadata_path,,,,,85543719.0,ns,3784
bind_waveform_host_metadata_path,,,,,88939993.0,ns,3828
bind_waveform_host_metadata_path,,,,,89177724.0,ns,3872
bind_waveform_host_metadata_path,,,,,88783090.0,ns,3916
bind_waveform_host_metadata_path,,,,,87823477.0,ns,3960
bind_waveform_host_metadata_path,,,,,89274123.0,ns,4004
bind_waveform_host_metadata_path,,,,,89877785.0,ns,4048
bind_waveform_host_metadata_path,,,,,92133919.0,ns,4092
bind_waveform_host_metadata_path,,,,,91911355.0,ns,4136
bind_waveform_host_metadata_path,,,,,93322669.0,ns,4180
bind_waveform_host_metadata_path,,,,,96884230.0,ns,4224
bind_waveform_host_metadata_path,,,,,96846209.0,ns,4268
bind_waveform_host_metadata_path,,,,,97003752.0,ns,4312
bind_waveform_host_metadata_path,,,,,97319328.0,ns,4356
bind_waveform_host_metadata_path,,,,,98155673.0,ns,4400
