group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bind_waveform_host_metadata_path,,,,,1032590.0,ns,44
bind_waveform_host_metadata_path,,,,,2184782.0,ns,88
bind_waveform_host_metadata_path,,,,,2951798.0,ns,132
bind_waveform_host_metadata_path,,,,,4115861.0,ns,176
bind_waveform_host_metadata_path,,,,,4910068.0,ns,220
bind_waveform_host_metadata_path,,,,,6107704.0,ns,264
bind_waveform_host_metadata_path,,,,,7046300.0,ns,308
bind_waveform_host_metadata_path,,,,,8001976.0,ns,352
bind_waveform_host_metadata_path,,,,,8954257.0,ns,396
bind_waveform_host_metadata_path,,,,,10199241.0,ns,440
bind_waveform_host_metadata_path,,,,,10976736.0,ns,484
bind_waveform_host_metadata_path,,,,,11916753.0,ns,528
bind_waveform_host_metadata_path,,,,,13197254.0,ns,572
bind_waveform_host_metadata_path,,,,,13881205.0,ns,616
bind_waveform_host_metadata_path,,,,,14915177.0,ns,660
bind_waveform_host_metadata_path,,,,,16127782.0,ns,704
bind_waveform_host_metadata_path,,,,,16935463.0,ns,748
bind_waveform_host_metadata_path,,,,,18231763.0,ns,792
bind_waveform_host_metadata_path,,,,,19055154.0,ns,836
bind_waveform_host_metadata_path,,,,,19926694.0,ns,880
bind_waveform_host_metadata_path,,,,,20983789.0,ns,924
bind_waveform_host_metadata_path,,,,,22285940.0,ns,968
bind_waveform_host_metadata_path,,,,,24219474.0,ns,1012
bind_waveform_host_metadata_path,,,,,24515454.0,ns,1056
bind_waveform_host_metadata_path,,,,,24931328.0,ns,1100
bind_waveform_host_metadata_path,,,,,26110620.0,ns,1144
bind_waveform_host_metadata_path,,,,,26762011.0,ns,1188
bind_waveform_host_metadata_path,,,,,28077798.0,ns,1232
bind_waveform_host_metadata_path,,,,,31074918.0,ns,1276
bind_waveform_host_metadata_path,,,,,30923267.0,ns,1320
bind_waveform_host_metadata_path,,,,,31622667.0,ns,1364
bind_waveform_host_metadata_path,,,,,32378773.0,ns,1408
bind_waveform_host_metadata_path,,,,,33623156.0,ns,1452
bind_waveform_host_metadata_path,,,,,34546743.0,ns,1496
bind_waveform_host_metadata_path,,,,,35887225.0,ns,1540
bind_waveform_host_metadata_path,,,,,37478513.0,ns,1584
bind_waveform_host_metadata_path,,,,,37208041.0,ns,1628
bind_waveform_host_metadata_path,,,,,39243294.0,ns,1672
bind_waveform_host_metadata_path,,,,,39577946.0,ns,1716
bind_waveform_host_metadata_path,,,,,40688630.0,ns,1760
bind_waveform_host_metadata_path,,,,,42011861.0,ns,1804
bind_waveform_host_metadata_path,,,,,42563806.0,ns,1848
bind_waveform_host_metadata_path,,,,,44433342.0,ns,1892
bind_waveform_host_metadata_path,,,,,44879371.0,ns,1936
bind_waveform_host_metadata_path,,,,,45913464.0,ns,1980
bind_waveform_host_metadata_path,,,,,46843533.0,ns,2024
bind_waveform_host_metadata_path,,,,,48038474.0,ns,2068
bind_waveform_host_metadata_path,,,,,48054565.0,ns,2112
bind_waveform_host_metadata_path,,,,,49107752.0,ns,2156
bind_waveform_host_metadata_path,,,,,50594426.0,ns,2200
bind_waveform_host_metadata_path,,,,,51482266.0,ns,2244
bind_waveform_host_metadata_path,,,,,56109218.0,ns,2288
bind_waveform_host_metadata_path,,,,,62519525.0,ns,2332
bind_waveform_host_metadata_path,,,,,53878772.0,ns,2376
bind_waveform_host_metadata_path,,,,,55267263.0,ns,2420
bind_waveform_host_metadata_path,,,,,57464347.0,ns,2464
bind_waveform_host_metadata_path,,,,,56880111.0,ns,2508
bind_waveform_host_metadata_path,,,,,57875502.0,ns,2552
bind_waveform_host_metadata_path,,,,,58726915.0,ns,2596
bind_waveform_host_metadata_path,,,,,59961850.0,ns,2640
bind_waveform_host_metadata_path,,,,,61052327.0,ns,2684
bind_waveform_host_metadata_path,,,,,63072673.0,ns,2728
bind_waveform_host_metadata_path,,,,,62953402.0,ns,2772
bind_waveform_host_metadata_path,,,,,64128837.0,ns,2816
bind_waveform_host_metadata_path,,,,,65207312.0,ns,2860
bind_waveform_host_metadata_path,,,,,66403125.0,ns,2904
bind_waveform_host_metadata_path,,,,,67411069.0,ns,2948
bind_waveform_host_metadata_path,,,,,68397613.0,ns,2992
bind_waveform_host_metadata_path,,,,,69533916.0,ns,3036
bind_waveform_host_metadata_path,,,,,70253874.0,ns,3080
bind_waveform_host_metadata_path,,,,,70953094.0,ns,3124
bind_waveform_host_metadata_path,,,,,72010028.0,ns,3168
bind_waveform_host_metadata_path,,,,,72760764.0,ns,3212
bind_waveform_host_metadata_path,,,,,73874815.0,ns,3256
bind_waveform_host_metadata_path,,,,,75331172.0,ns,3300
